Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS274,kozakovvajda,1.7386,0.752,0.9866,TS274_v1_1,0.752,1,0.9866,1
TS494,ClusPro,1.7386,0.752,0.9866,TS494_v1_1,0.752,1,0.9866,1
TS204,Zou,1.7324,0.8058,0.9266,TS204_v1_5,0.8058,5,0.9266,5
TS059,DeepFold,1.7196,0.8093,0.9103,TS059_v1_6,0.8093,6,0.9103,6
TS139,DeepFold-refine,1.7196,0.8093,0.9103,TS139_v1_6,0.8093,6,0.9103,6
TS039,arosko,1.7177,0.7492,0.9685,TS039_v1_3,0.7492,3,0.9685,3
TS040,DELCLAB,1.698,0.7533,0.9447,TS040_v1_5,0.7533,5,0.9447,5
TS052,Yang-Server,1.6966999999999999,0.838,0.8587,TS052_v1_3,0.838,3,0.8587,3
TS110,MIEnsembles-Server,1.6943,0.8503,0.844,TS110_v1_2,0.8503,2,0.844,2
TS022,Yang,1.6939000000000002,0.8545,0.8394,TS022_v1_4,0.8545,4,0.8394,4
TS456,Yang-Multimer,1.6931,0.8342,0.8589,TS456_v1_5,0.8342,5,0.8589,5
TS462,Zheng,1.6904,0.8494,0.841,TS462_v1_1,0.8494,1,0.841,1
TS147,Zheng-Multimer,1.6904,0.8494,0.841,TS147_v1_1,0.8494,1,0.841,1
TS221,CSSB_FAKER,1.689,0.8116,0.8774,TS221_v1_3,0.8116,3,0.8774,3
TS419,CSSB-Human,1.689,0.8116,0.8774,TS419_v1_3,0.8116,3,0.8774,3
TS269,CSSB_server,1.6868,0.8131,0.8737,TS269_v1_5,0.8131,5,0.8737,5
TS262,CoDock,1.6853,0.8268,0.8585,TS262_v1_1,0.8268,1,0.8585,1
TS386,ShanghaiTech-Ligand,1.6832,0.865,0.8182,TS386_v1_4,0.865,4,0.8182,4
TS298,ShanghaiTech-human,1.6832,0.865,0.8182,TS298_v1_4,0.865,4,0.8182,4
TS015,PEZYFoldings,1.6776,0.8729,0.8047,TS015_v1_5,0.8729,5,0.8047,5
TS208,falcon2,1.6773,0.8571,0.8202,TS208_v1_4,0.8571,4,0.8202,4
TS102,Psi-Phi,1.6754,0.8507,0.8247,TS102_v1_5,0.8507,5,0.8247,5
TS264,GuijunLab-Human,1.6749,0.8493,0.8256,TS264_v1_1,0.8493,1,0.8256,1
TS148,Guijunlab-Complex,1.6749,0.8493,0.8256,TS148_v1_5,0.8493,5,0.8256,5
TS393,GuijunLab-QA,1.6749,0.8493,0.8256,TS393_v1_1,0.8493,1,0.8256,1
TS312,GuijunLab-Assembly,1.6749,0.8493,0.8256,TS312_v1_1,0.8493,1,0.8256,1
TS314,GuijunLab-PAthreader,1.6749,0.8493,0.8256,TS314_v1_1,0.8493,1,0.8256,1
TS207,MULTICOM_ligand,1.6738,0.8483,0.8255,TS207_v1_2,0.8483,2,0.8255,2
TS450,OpenComplex_Server,1.6731,0.8488,0.8243,TS450_v1_5,0.8488,5,0.8243,5
TS167,OpenComplex,1.6731,0.8488,0.8243,TS167_v1_2,0.8488,2,0.8243,2
TS272,GromihaLab,1.6723,0.8447,0.8276,TS272_v1_3,0.8447,3,0.8276,3
TS287,plmfold,1.6709,0.8489,0.822,TS287_v1_2,0.8489,2,0.822,2
TS122,MQA_server,1.6707,0.8442,0.8265,TS122_v1_5,0.8442,5,0.8265,5
TS267,kiharalab_server,1.6705999999999999,0.8478,0.8228,TS267_v1_1,0.8478,1,0.8228,1
TS020,comppharmunibas,1.6699,0.8237,0.8462,TS020_v1_3,0.8237,3,0.8462,3
TS241,elofsson,1.6691,0.8444,0.8247,TS241_v1_4,0.8444,4,0.8247,4
TS304,AF3-server,1.6691,0.8444,0.8247,TS304_v1_4,0.8444,4,0.8247,4
TS464,PocketTracer,1.6688999999999998,0.8418,0.8271,TS464_v1_1,0.8418,1,0.8271,1
TS369,Bhattacharya,1.6679,0.8463,0.8216,TS369_v1_1,0.8463,1,0.8216,1
TS345,MULTICOM_human,1.6654,0.8468,0.8186,TS345_v1_4,0.8468,4,0.8186,4
TS286,CSSB_experimental,1.6649,0.7993,0.8656,TS286_v1_2,0.7993,2,0.8656,2
TS311,RAGfold_Prot1,1.6639,0.8471,0.8168,TS311_v1_4,0.8471,4,0.8168,4
TS293,MRAH,1.6638000000000002,0.8453,0.8185,TS293_v1_2,0.8453,2,0.8185,2
TS079,MRAFold,1.6638000000000002,0.8453,0.8185,TS079_v1_1,0.8453,1,0.8185,1
TS400,OmniFold,1.6605,0.8374,0.8231,TS400_v1_1,0.8374,1,0.8231,1
TS235,isyslab-hust,1.6604999999999999,0.8425,0.818,TS235_v1_3,0.8425,3,0.818,3
TS301,GHZ-MAN,1.6589999999999998,0.8381,0.8209,TS301_v1_2,0.8381,2,0.8209,2
TS388,DeepFold-server,1.6577000000000002,0.8555,0.8022,TS388_v1_4,0.8555,4,0.8022,4
TS425,MULTICOM_GATE,1.6574,0.8536,0.8038,TS425_v1_2,0.8536,2,0.8038,2
