Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS015,PEZYFoldings,0.8729,0.8729,TS015_v1_5,0.8729,v1_v1,0.8729,5
TS298,ShanghaiTech-human,0.865,0.865,TS298_v1_4,0.865,v1_v1,0.865,4
TS386,ShanghaiTech-Ligand,0.865,0.865,TS386_v1_4,0.865,v1_v1,0.865,4
TS208,falcon2,0.8571,0.8571,TS208_v1_4,0.8571,v1_v1,0.8571,4
TS388,DeepFold-server,0.8555,0.8555,TS388_v1_4,0.8555,v1_v1,0.8555,4
TS022,Yang,0.8545,0.8545,TS022_v1_4,0.8545,v1_v1,0.8545,4
TS319,MULTICOM_LLM,0.8536,0.8536,TS319_v1_3,0.8536,v1_v1,0.8536,3
TS425,MULTICOM_GATE,0.8536,0.8536,TS425_v1_2,0.8536,v1_v1,0.8536,2
TS375,milliseconds,0.8532,0.8532,TS375_v1_3,0.8532,v1_v1,0.8532,3
TS465,Wallner,0.8517,0.8517,TS465_v1_2,0.8517,v1_v1,0.8517,2
TS423,ShanghaiTech-server,0.8509,0.8509,TS423_v1_5,0.8509,v1_v1,0.8509,5
TS102,Psi-Phi,0.8507,0.8507,TS102_v1_5,0.8507,v1_v1,0.8507,5
TS019,Zheng-Server,0.8505,0.8505,TS019_v1_2,0.8505,v1_v1,0.8505,2
TS110,MIEnsembles-Server,0.8503,0.8503,TS110_v1_2,0.8503,v1_v1,0.8503,2
TS462,Zheng,0.8494,0.8494,TS462_v1_1,0.8494,v1_v1,0.8494,1
TS147,Zheng-Multimer,0.8494,0.8494,TS147_v1_1,0.8494,v1_v1,0.8494,1
TS264,GuijunLab-Human,0.8493,0.8493,TS264_v1_1,0.8493,v1_v1,0.8493,1
TS148,Guijunlab-Complex,0.8493,0.8493,TS148_v1_5,0.8493,v1_v1,0.8493,5
TS393,GuijunLab-QA,0.8493,0.8493,TS393_v1_1,0.8493,v1_v1,0.8493,1
TS312,GuijunLab-Assembly,0.8493,0.8493,TS312_v1_1,0.8493,v1_v1,0.8493,1
TS314,GuijunLab-PAthreader,0.8493,0.8493,TS314_v1_1,0.8493,v1_v1,0.8493,1
TS287,plmfold,0.8489,0.8489,TS287_v1_2,0.8489,v1_v1,0.8489,2
TS167,OpenComplex,0.8488,0.8488,TS167_v1_2,0.8488,v1_v1,0.8488,2
TS450,OpenComplex_Server,0.8488,0.8488,TS450_v1_5,0.8488,v1_v1,0.8488,5
TS284,Unicorn,0.8483,0.8483,TS284_v1_1,0.8483,v1_v1,0.8483,1
TS207,MULTICOM_ligand,0.8483,0.8483,TS207_v1_2,0.8483,v1_v1,0.8483,2
TS075,GHZ-ISM,0.8483,0.8483,TS075_v1_1,0.8483,v1_v1,0.8483,1
TS227,KUMC,0.8479,0.8479,TS227_v1_3,0.8479,v1_v1,0.8479,3
TS267,kiharalab_server,0.8478,0.8478,TS267_v1_1,0.8478,v1_v1,0.8478,1
TS311,RAGfold_Prot1,0.8471,0.8471,TS311_v1_4,0.8471,v1_v1,0.8471,4
TS331,MULTICOM_AI,0.847,0.847,TS331_v1_1,0.847,v1_v1,0.847,1
TS051,MULTICOM,0.847,0.847,TS051_v1_1,0.847,v1_v1,0.847,1
TS345,MULTICOM_human,0.8468,0.8468,TS345_v1_4,0.8468,v1_v1,0.8468,4
TS369,Bhattacharya,0.8463,0.8463,TS369_v1_1,0.8463,v1_v1,0.8463,1
TS091,Huang-HUST,0.8461,0.8461,TS091_v1_2,0.8461,v1_v1,0.8461,2
TS293,MRAH,0.8453,0.8453,TS293_v1_2,0.8453,v1_v1,0.8453,2
TS079,MRAFold,0.8453,0.8453,TS079_v1_1,0.8453,v1_v1,0.8453,1
TS272,GromihaLab,0.8447,0.8447,TS272_v1_3,0.8447,v1_v1,0.8447,3
TS304,AF3-server,0.8444,0.8444,TS304_v1_4,0.8444,v1_v1,0.8444,4
TS241,elofsson,0.8444,0.8444,TS241_v1_4,0.8444,v1_v1,0.8444,4
TS122,MQA_server,0.8442,0.8442,TS122_v1_5,0.8442,v1_v1,0.8442,5
TS235,isyslab-hust,0.8425,0.8425,TS235_v1_3,0.8425,v1_v1,0.8425,3
TS464,PocketTracer,0.8418,0.8418,TS464_v1_1,0.8418,v1_v1,0.8418,1
TS198,colabfold,0.8389,0.8389,TS198_v1_5,0.8389,v1_v1,0.8389,5
TS014,Cool-PSP,0.8388,0.8388,TS014_v1_4,0.8388,v1_v1,0.8388,4
TS301,GHZ-MAN,0.8381,0.8381,TS301_v1_2,0.8381,v1_v1,0.8381,2
TS052,Yang-Server,0.838,0.838,TS052_v1_3,0.838,v1_v1,0.838,3
