Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS462,Zheng,1.9694,0.9888,0.9806,TS462_v1_6,0.9888,6,0.9806,6
TS110,MIEnsembles-Server,1.9694,0.9878,0.9816,TS110_v1_2,0.9878,2,0.9816,2
TS235,isyslab-hust,1.9691,0.9852,0.9839,TS235_v1_3,0.9852,3,0.9839,3
TS204,Zou,1.9689999999999999,0.9732,0.9958,TS204_v1_3,0.9732,3,0.9958,3
TS059,DeepFold,1.9689999999999999,0.9739,0.9951,TS059_v1_6,0.9739,6,0.9951,6
TS139,DeepFold-refine,1.9689999999999999,0.9739,0.9951,TS139_v1_6,0.9739,6,0.9951,6
TS345,MULTICOM_human,1.9689,0.9861,0.9828,TS345_v1_4,0.9861,4,0.9828,4
TS022,Yang,1.9687000000000001,0.9892,0.9795,TS022_v1_4,0.9892,4,0.9795,4
TS052,Yang-Server,1.9686,0.9768,0.9918,TS052_v1_1,0.9768,1,0.9918,1
TS079,MRAFold,1.9683,0.9861,0.9822,TS079_v1_5,0.9861,5,0.9822,5
TS293,MRAH,1.9683,0.986,0.9823,TS293_v1_3,0.986,3,0.9823,3
TS450,OpenComplex_Server,1.9682,0.9862,0.982,TS450_v1_5,0.9862,5,0.982,5
TS167,OpenComplex,1.9682,0.9862,0.982,TS167_v1_2,0.9862,2,0.982,2
TS017,Seder2024hard,1.9679,0.9837,0.9842,TS017_v1_4,0.9837,4,0.9842,4
TS145,colabfold_baseline,1.9679,0.9837,0.9842,TS145_v1_2,0.9837,2,0.9842,2
TS456,Yang-Multimer,1.9679,0.9759,0.992,TS456_v1_5,0.9759,5,0.992,5
TS272,GromihaLab,1.9678,0.9842,0.9836,TS272_v1_4,0.9842,4,0.9836,4
TS267,kiharalab_server,1.9677,0.9856,0.9821,TS267_v1_1,0.9856,1,0.9821,1
TS464,PocketTracer,1.9677,0.984,0.9837,TS464_v1_3,0.984,3,0.9837,3
TS393,GuijunLab-QA,1.9675,0.9864,0.9811,TS393_v1_1,0.9864,1,0.9811,1
TS148,Guijunlab-Complex,1.9675,0.9864,0.9811,TS148_v1_5,0.9864,5,0.9811,5
TS196,HYU_MLLAB,1.9675,0.985,0.9825,TS196_v1_2,0.985,2,0.9825,2
TS264,GuijunLab-Human,1.9675,0.9864,0.9811,TS264_v1_1,0.9864,1,0.9811,1
TS314,GuijunLab-PAthreader,1.9675,0.9864,0.9811,TS314_v1_1,0.9864,1,0.9811,1
TS475,ptq,1.9675,0.9864,0.9811,TS475_v1_3,0.9864,3,0.9811,3
TS312,GuijunLab-Assembly,1.9675,0.9864,0.9811,TS312_v1_1,0.9864,1,0.9811,1
TS102,Psi-Phi,1.9674,0.9866,0.9808,TS102_v1_1,0.9866,1,0.9808,1
TS319,MULTICOM_LLM,1.9674,0.9882,0.9792,TS319_v1_3,0.9882,3,0.9792,3
TS221,CSSB_FAKER,1.9674,0.9748,0.9926,TS221_v1_3,0.9748,3,0.9926,3
TS425,MULTICOM_GATE,1.9674,0.9882,0.9792,TS425_v1_2,0.9882,2,0.9792,2
TS419,CSSB-Human,1.9674,0.9748,0.9926,TS419_v1_3,0.9748,3,0.9926,3
TS198,colabfold,1.9672999999999998,0.9841,0.9832,TS198_v1_5,0.9841,5,0.9832,5
TS388,DeepFold-server,1.9672,0.9889,0.9783,TS388_v1_4,0.9889,4,0.9783,4
TS269,CSSB_server,1.9671,0.9746,0.9925,TS269_v1_3,0.9746,3,0.9925,3
TS369,Bhattacharya,1.9670999999999998,0.985,0.9821,TS369_v1_1,0.985,1,0.9821,1
TS287,plmfold,1.967,0.9865,0.9805,TS287_v1_2,0.9865,2,0.9805,2
TS207,MULTICOM_ligand,1.967,0.986,0.981,TS207_v1_3,0.986,3,0.981,3
TS400,OmniFold,1.9668999999999999,0.9837,0.9832,TS400_v1_1,0.9837,1,0.9832,1
TS423,ShanghaiTech-server,1.9668,0.9879,0.9789,TS423_v1_1,0.9879,1,0.9789,1
TS241,elofsson,1.9665,0.9844,0.9821,TS241_v1_2,0.9844,2,0.9821,2
TS304,AF3-server,1.9665,0.9844,0.9821,TS304_v1_2,0.9844,2,0.9821,2
TS375,milliseconds,1.9664,0.9873,0.9791,TS375_v1_3,0.9873,3,0.9791,3
TS091,Huang-HUST,1.9664,0.9873,0.9791,TS091_v1_2,0.9873,2,0.9791,2
TS225,Unknown,1.9663,0.985,0.9813,TS225_v1_1,0.985,1,0.9813,1
TS164,McGuffin,1.9663,0.985,0.9813,TS164_v1_1,0.985,1,0.9813,1
TS301,GHZ-MAN,1.9663,0.9848,0.9815,TS301_v1_2,0.9848,2,0.9815,2
TS163,MultiFOLD2,1.9663,0.985,0.9813,TS163_v1_1,0.985,1,0.9813,1
TS331,MULTICOM_AI,1.9661,0.9861,0.98,TS331_v1_1,0.9861,1,0.98,1
TS051,MULTICOM,1.9661,0.9861,0.98,TS051_v1_1,0.9861,1,0.98,1
TS386,ShanghaiTech-Ligand,1.9657,0.9906,0.9751,TS386_v1_1,0.9906,1,0.9751,1
TS298,ShanghaiTech-human,1.9657,0.9906,0.9751,TS298_v1_1,0.9906,1,0.9751,1
TS286,CSSB_experimental,1.9655,0.9716,0.9939,TS286_v1_2,0.9716,2,0.9939,2
TS227,KUMC,1.9655,0.9864,0.9791,TS227_v1_2,0.9864,2,0.9791,2
TS019,Zheng-Server,1.9655,0.9871,0.9784,TS019_v1_2,0.9871,2,0.9784,2
TS262,CoDock,1.9654,0.9734,0.992,TS262_v1_5,0.9734,5,0.992,5
TS075,GHZ-ISM,1.9651,0.9863,0.9788,TS075_v1_3,0.9863,3,0.9788,3
TS284,Unicorn,1.9651,0.9863,0.9788,TS284_v1_3,0.9863,3,0.9788,3
TS122,MQA_server,1.9651,0.9863,0.9788,TS122_v1_2,0.9863,2,0.9788,2
TS147,Zheng-Multimer,1.9649999999999999,0.9861,0.9789,TS147_v1_4,0.9861,4,0.9789,4
TS208,falcon2,1.9647999999999999,0.9894,0.9754,TS208_v1_4,0.9894,4,0.9754,4
TS311,RAGfold_Prot1,1.9644,0.9868,0.9776,TS311_v1_1,0.9868,1,0.9776,1
TS014,Cool-PSP,1.9628999999999999,0.9861,0.9768,TS014_v1_4,0.9861,4,0.9768,4
TS040,DELCLAB,1.9627,0.9638,0.9989,TS040_v1_3,0.9638,3,0.9989,3
TS294,KiharaLab,1.9621,0.983,0.9791,TS294_v1_2,0.983,2,0.9791,2
TS015,PEZYFoldings,1.9612,0.9926,0.9686,TS015_v1_2,0.9926,2,0.9686,2
TS465,Wallner,1.96,0.9892,0.9708,TS465_v1_3,0.9892,3,0.9708,3
TS408,SNU-CHEM-lig,1.9594,0.9889,0.9705,TS408_v1_1,0.9889,1,0.9705,1
TS055,LCDD-team,1.9593,0.9889,0.9704,TS055_v1_3,0.9889,3,0.9704,3
TS494,ClusPro,1.9523,0.9531,0.9992,TS494_v1_3,0.9531,3,0.9992,3
TS274,kozakovvajda,1.9523,0.9531,0.9992,TS274_v1_3,0.9531,3,0.9992,3
TS039,arosko,1.9508999999999999,0.9571,0.9938,TS039_v1_1,0.9571,1,0.9938,1
TS202,test001,1.9447999999999999,0.9842,0.9606,TS202_v1_5,0.9842,5,0.9606,5
TS020,comppharmunibas,1.9417,0.9784,0.9633,TS020_v1_4,0.9784,4,0.9633,4
TS120,Cerebra,1.9373,0.9692,0.9681,TS120_v1_6,0.9692,6,0.9681,6
TS461,forlilab,1.923,0.9589,0.9641,TS461_v1_2,0.9589,2,0.9641,2
TS275,Seminoles,1.9224999999999999,0.9642,0.9583,TS275_v1_1,0.9642,1,0.9583,1
TS361,Cerebra_server,1.8974,0.9469,0.9505,TS361_v1_1,0.9469,1,0.9505,1
TS132,profold2,1.6043,0.8002,0.8041,TS132_v1_1,0.8002,1,0.8041,1
