Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS015,PEZYFoldings,0.9926,0.9926,TS015_v1_2,0.9926,v1_v1,0.9926,2
TS298,ShanghaiTech-human,0.9906,0.9906,TS298_v1_1,0.9906,v1_v1,0.9906,1
TS386,ShanghaiTech-Ligand,0.9906,0.9906,TS386_v1_1,0.9906,v1_v1,0.9906,1
TS208,falcon2,0.9894,0.9894,TS208_v1_4,0.9894,v1_v1,0.9894,4
TS465,Wallner,0.9892,0.9892,TS465_v1_3,0.9892,v1_v1,0.9892,3
TS022,Yang,0.9892,0.9892,TS022_v1_4,0.9892,v1_v1,0.9892,4
TS408,SNU-CHEM-lig,0.9889,0.9889,TS408_v1_1,0.9889,v1_v1,0.9889,1
TS055,LCDD-team,0.9889,0.9889,TS055_v1_3,0.9889,v1_v1,0.9889,3
TS388,DeepFold-server,0.9889,0.9889,TS388_v1_4,0.9889,v1_v1,0.9889,4
TS462,Zheng,0.9888,0.9888,TS462_v1_6,0.9888,v1_v1,0.9888,6
TS319,MULTICOM_LLM,0.9882,0.9882,TS319_v1_3,0.9882,v1_v1,0.9882,3
TS425,MULTICOM_GATE,0.9882,0.9882,TS425_v1_2,0.9882,v1_v1,0.9882,2
TS423,ShanghaiTech-server,0.9879,0.9879,TS423_v1_1,0.9879,v1_v1,0.9879,1
TS110,MIEnsembles-Server,0.9878,0.9878,TS110_v1_2,0.9878,v1_v1,0.9878,2
TS375,milliseconds,0.9873,0.9873,TS375_v1_3,0.9873,v1_v1,0.9873,3
TS091,Huang-HUST,0.9873,0.9873,TS091_v1_2,0.9873,v1_v1,0.9873,2
TS019,Zheng-Server,0.9871,0.9871,TS019_v1_2,0.9871,v1_v1,0.9871,2
TS311,RAGfold_Prot1,0.9868,0.9868,TS311_v1_1,0.9868,v1_v1,0.9868,1
TS102,Psi-Phi,0.9866,0.9866,TS102_v1_1,0.9866,v1_v1,0.9866,1
TS287,plmfold,0.9865,0.9865,TS287_v1_2,0.9865,v1_v1,0.9865,2
TS227,KUMC,0.9864,0.9864,TS227_v1_2,0.9864,v1_v1,0.9864,2
TS393,GuijunLab-QA,0.9864,0.9864,TS393_v1_1,0.9864,v1_v1,0.9864,1
TS475,ptq,0.9864,0.9864,TS475_v1_3,0.9864,v1_v1,0.9864,3
TS312,GuijunLab-Assembly,0.9864,0.9864,TS312_v1_1,0.9864,v1_v1,0.9864,1
TS314,GuijunLab-PAthreader,0.9864,0.9864,TS314_v1_1,0.9864,v1_v1,0.9864,1
TS148,Guijunlab-Complex,0.9864,0.9864,TS148_v1_5,0.9864,v1_v1,0.9864,5
TS264,GuijunLab-Human,0.9864,0.9864,TS264_v1_1,0.9864,v1_v1,0.9864,1
TS284,Unicorn,0.9863,0.9863,TS284_v1_3,0.9863,v1_v1,0.9863,3
TS075,GHZ-ISM,0.9863,0.9863,TS075_v1_3,0.9863,v1_v1,0.9863,3
TS122,MQA_server,0.9863,0.9863,TS122_v1_2,0.9863,v1_v1,0.9863,2
