Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS462,Zheng,116.15199999999999,63.109,53.04299999999999,TS462_v1_3,TS462_v2_5,0.63109,v1_v1,0.63109,0.60674,0.51826,0.53043,3,3,4,5
TS264,GuijunLab-Human,116.012,55.946,60.065999999999995,TS264_v1_6,TS264_v2_2,0.60066,v2_v2,0.55946,0.52715,0.48127,0.60066,6,4,6,2
TS147,Zheng-Multimer,115.68400000000001,62.31300000000001,53.371,TS147_v1_1,TS147_v2_1,0.6231300000000001,v1_v1,0.6231300000000001,0.5032800000000001,0.52434,0.53371,1,4,4,1
TS148,Guijunlab-Complex,114.51400000000001,54.44799999999999,60.065999999999995,TS148_v2_3,TS148_v1_3,0.60066,v2_v1,0.48408,0.54448,0.60066,0.47378,1,3,3,3
TS481,Vfold,112.453,61.797999999999995,50.65500000000001,TS481_v1_3,TS481_v2_5,0.61798,v1_v1,0.61798,0.55665,0.4690999999999999,0.5065500000000001,3,2,1,5
TS167,OpenComplex,112.406,57.069,55.337,TS167_v1_1,TS167_v2_3,0.57069,v1_v1,0.57069,0.44991,0.48127,0.55337,1,1,2,3
TS450,OpenComplex_Server,112.406,57.069,55.337,TS450_v1_1,TS450_v2_3,0.57069,v1_v1,0.57069,0.44991,0.48127,0.55337,1,1,2,3
TS022,Yang,112.12599999999999,57.21000000000001,54.916,TS022_v1_4,TS022_v2_5,0.5721,v1_v1,0.5721,0.5721,0.54916,0.54916,4,4,1,5
TS052,Yang-Server,111.89200000000001,59.504000000000005,52.388,TS052_v1_4,TS052_v2_2,0.59504,v1_v1,0.59504,0.59504,0.52388,0.52388,4,4,2,2
TS456,Yang-Multimer,110.721,58.333,52.388,TS456_v1_3,TS456_v2_2,0.58333,v1_v1,0.58333,0.58333,0.52388,0.52388,3,3,2,2
TS204,Zou,110.57999999999998,62.172,48.408,TS204_v1_1,TS204_v2_2,0.6217199999999999,v1_v1,0.6217199999999999,0.62032,0.48268,0.48408,1,2,1,2
TS241,elofsson,110.393,58.567,51.82600000000001,TS241_v2_1,TS241_v1_2,0.58567,v1_v2,0.5519700000000001,0.58567,0.51826,0.46536,3,1,2,1
TS294,KiharaLab,109.41000000000001,59.972,49.437999999999995,TS294_v2_5,TS294_v1_3,0.59972,v1_v2,0.55665,0.59972,0.49438,0.47238,1,5,3,2
TS091,Huang-HUST,109.17599999999999,54.541,54.635,TS091_v1_2,TS091_v2_5,0.54635,v2_v2,0.54541,0.54541,0.54635,0.54635,2,2,5,5
TS033,Diff,108.708,56.882,51.82600000000001,TS033_v2_1,TS033_v1_4,0.56882,v1_v2,0.5557099999999999,0.56882,0.51826,0.48642,2,1,4,3
TS262,CoDock,108.24000000000001,55.899,52.341,TS262_v1_2,TS262_v2_4,0.55899,v1_v1,0.55899,0.51077,0.51966,0.52341,2,5,1,4
TS212,PIEFold_human,107.58399999999999,55.103,52.481,TS212_v2_4,TS212_v1_2,0.55103,v1_v2,0.4471,0.55103,0.52481,0.44429,1,4,2,5
TS375,milliseconds,106.976,59.41,47.566,TS375_v2_4,TS375_v1_3,0.5941,v1_v2,0.55431,0.5941,0.47566,0.49345,2,4,3,5
TS028,NKRNA-s,106.69499999999998,51.31099999999999,55.384,TS028_v1_2,TS028_v2_5,0.55384,v2_v2,0.51311,0.44148,0.46395,0.55384,2,5,2,5
TS301,GHZ-MAN,106.64799999999998,55.946,50.702000000000005,TS301_v1_3,TS301_v2_4,0.55946,v1_v1,0.55946,0.42556,0.4677,0.50702,3,4,3,4
TS110,MIEnsembles-Server,105.80499999999999,52.247,53.55799999999999,TS110_v1_2,TS110_v2_5,0.53558,v2_v2,0.52247,0.4386699999999999,0.46442,0.53558,2,5,2,5
TS304,AF3-server,104.588,57.725,46.863,TS304_v1_4,TS304_v2_5,0.57725,v1_v1,0.57725,0.54167,0.48174,0.46863,4,1,1,5
TS051,MULTICOM,103.979,56.647999999999996,47.331,TS051_v1_3,TS051_v2_2,0.56648,v1_v1,0.56648,0.56648,0.47331,0.47331,3,4,2,2
TS345,MULTICOM_human,103.979,56.647999999999996,47.331,TS345_v1_3,TS345_v2_2,0.56648,v1_v1,0.56648,0.56648,0.47331,0.47331,3,4,2,2
TS319,MULTICOM_LLM,103.979,56.647999999999996,47.331,TS319_v1_2,TS319_v2_4,0.56648,v1_v1,0.56648,0.55852,0.47331,0.47331,2,1,4,4
TS331,MULTICOM_AI,103.979,56.647999999999996,47.331,TS331_v1_2,TS331_v2_4,0.56648,v1_v1,0.56648,0.56648,0.47331,0.47331,2,1,4,4
TS274,kozakovvajda,103.83900000000001,56.32,47.519,TS274_v1_2,TS274_v2_2,0.5632,v1_v1,0.5632,0.5632,0.47519,0.47519,2,2,2,2
TS494,ClusPro,103.83900000000001,56.32,47.519,TS494_v1_2,TS494_v2_2,0.5632,v1_v1,0.5632,0.5632,0.47519,0.47519,2,2,2,2
TS231,B-LAB,103.60400000000001,56.273,47.331,TS231_v2_4,TS231_v1_4,0.5627300000000001,v1_v2,0.5332399999999999,0.5627300000000001,0.47331,0.46629,4,4,4,3
TS314,GuijunLab-PAthreader,103.55799999999999,48.549,55.009,TS314_v2_3,TS314_v1_1,0.55009,v2_v1,0.49345,0.48549,0.55009,0.49625,5,3,1,1
TS286,CSSB_experimental,103.464,56.133,47.331,TS286_v1_5,TS286_v2_4,0.56133,v1_v1,0.56133,0.5575800000000001,0.47706,0.47331,5,5,3,4
TS425,MULTICOM_GATE,103.183,55.852000000000004,47.331,TS425_v1_1,TS425_v2_1,0.55852,v1_v1,0.55852,0.55852,0.47331,0.47331,1,2,3,1
TS198,colabfold,102.57499999999999,56.413999999999994,46.161,TS198_v2_2,TS198_v1_2,0.56414,v1_v2,0.5632,0.56414,0.46161,0.46114,2,2,2,2
TS419,CSSB-Human,102.294,55.523999999999994,46.77,TS419_v2_4,TS419_v1_3,0.55524,v1_v2,0.55478,0.55524,0.4677,0.47659,4,4,3,2
TS221,CSSB_FAKER,102.19999999999997,55.57099999999999,46.629,TS221_v2_2,TS221_v1_5,0.5557099999999999,v1_v2,0.5519700000000001,0.5557099999999999,0.46629,0.47378,4,2,5,1
TS369,Bhattacharya,102.107,54.822,47.285,TS369_v1_2,TS369_v2_1,0.54822,v1_v1,0.54822,0.54822,0.47285,0.47285,2,2,1,1
TS019,Zheng-Server,101.96600000000001,51.685,50.281,TS019_v1_4,TS019_v2_4,0.51685,v1_v1,0.51685,0.49251,0.49625,0.50281,4,5,5,4
TS475,ptq,101.124,58.42699999999999,42.697,TS475_v2_5,TS475_v1_2,0.58427,v1_v2,0.48502,0.58427,0.42697,0.4882999999999999,4,5,2,5
TS014,Cool-PSP,101.123,58.567,42.556,TS014_v2_6,TS014_v1_6,0.58567,v1_v2,0.51639,0.58567,0.42556,0.48549,6,6,6,2
TS287,plmfold,101.077,54.07300000000001,47.00399999999999,TS287_v1_2,TS287_v2_1,0.54073,v1_v1,0.54073,0.52996,0.4559899999999999,0.4700399999999999,2,3,2,1
TS267,kiharalab_server,100.047,54.681999999999995,45.365,TS267_v1_1,TS267_v2_5,0.54682,v1_v1,0.54682,0.50047,0.4588,0.45365,1,5,1,5
TS079,MRAFold,99.766,54.822,44.944,TS079_v1_2,TS079_v2_2,0.54822,v1_v1,0.54822,0.54822,0.44944,0.44944,2,2,2,2
TS293,MRAH,99.766,54.822,44.944,TS293_v1_2,TS293_v2_2,0.54822,v1_v1,0.54822,0.54822,0.44944,0.44944,2,2,2,2
TS489,Fernandez-Recio,99.67300000000002,55.47800000000001,44.195,TS489_v1_2,TS489_v2_2,0.55478,v1_v1,0.55478,0.53184,0.45272,0.44195,2,5,2,2
TS208,falcon2,99.20399999999998,54.541,44.66299999999999,TS208_v2_5,TS208_v1_1,0.54541,v1_v2,0.51311,0.54541,0.4466299999999999,0.46348,1,5,1,5
TS196,HYU_MLLAB,98.736,53.371,45.365,TS196_v1_5,TS196_v2_5,0.53371,v1_v1,0.53371,0.53371,0.45365,0.45365,5,5,5,5
TS312,GuijunLab-Assembly,98.502,53.839000000000006,44.66299999999999,TS312_v1_4,TS312_v2_2,0.53839,v1_v1,0.53839,0.46067,0.47238,0.4466299999999999,4,5,4,2
TS017,Seder2024hard,97.987,54.354,43.633,TS017_v1_5,TS017_v2_5,0.54354,v1_v1,0.54354,0.54354,0.43633,0.43633,5,5,5,5
TS112,Seder2024easy,97.987,54.354,43.633,TS112_v1_4,TS112_v2_3,0.54354,v1_v1,0.54354,0.54354,0.43633,0.43633,4,3,4,3
TS145,colabfold_baseline,97.893,54.354,43.539,TS145_v1_3,TS145_v2_3,0.54354,v1_v1,0.54354,0.54354,0.43633,0.43539,3,3,3,3
TS465,Wallner,97.47200000000001,50.0,47.471999999999994,TS465_v1_5,TS465_v2_1,0.5,v1_v1,0.5,0.49579,0.47097,0.47472,5,3,5,1
TS235,isyslab-hust,96.62899999999999,50.796,45.83299999999999,TS235_v1_1,TS235_v2_3,0.50796,v1_v1,0.50796,0.50796,0.4583299999999999,0.4583299999999999,1,1,3,3
TS311,RAGfold_Prot1,96.583,49.86,46.723,TS311_v1_2,TS311_v2_5,0.4986,v1_v1,0.4986,0.4986,0.46723,0.46723,2,2,5,5
TS163,MultiFOLD2,96.02,53.23,42.79,TS163_v1_5,TS163_v2_2,0.5323,v1_v1,0.5323,0.5323,0.4279,0.4279,5,5,2,2
TS015,PEZYFoldings,95.553,51.124,44.429,TS015_v2_2,TS015_v1_5,0.51124,v1_v2,0.48408,0.51124,0.44429,0.41667,5,2,5,2
