Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS314,GuijunLab-PAthreader,1.5232,0.7728,0.7504,TS314_v1_4,TS314_v2_5,0.7728,v1_v1,0.7728,0.7728,0.7505,0.7504,4,3,3,5
TS028,NKRNA-s,1.5223,0.766,0.7563,TS028_v1_5,TS028_v2_4,0.766,v1_v1,0.766,0.7592,0.7486,0.7563,5,4,5,4
TS319,MULTICOM_LLM,1.5221,0.772,0.7501,TS319_v1_1,TS319_v2_2,0.772,v1_v1,0.772,0.772,0.7501,0.7501,1,2,1,2
TS331,MULTICOM_AI,1.5221,0.772,0.7501,TS331_v1_1,TS331_v2_2,0.772,v1_v1,0.772,0.772,0.7501,0.7501,1,2,1,2
TS051,MULTICOM,1.5221,0.772,0.7501,TS051_v1_1,TS051_v2_3,0.772,v1_v1,0.772,0.772,0.7501,0.7501,1,3,1,3
TS345,MULTICOM_human,1.5221,0.772,0.7501,TS345_v1_1,TS345_v2_3,0.772,v1_v1,0.772,0.772,0.7501,0.7501,1,3,1,3
TS110,MIEnsembles-Server,1.5214,0.7658,0.7556,TS110_v1_3,TS110_v2_3,0.7658,v1_v1,0.7658,0.7574,0.7497,0.7556,3,3,3,3
TS147,Zheng-Multimer,1.5186000000000002,0.768,0.7506,TS147_v2_4,TS147_v1_5,0.768,v1_v2,0.761,0.768,0.7506,0.7473,1,4,5,4
TS425,MULTICOM_GATE,1.5145,0.772,0.7425,TS425_v2_4,TS425_v1_4,0.772,v1_v2,0.7659,0.772,0.7425,0.7501,4,4,4,4
TS462,Zheng,1.5131000000000001,0.7711,0.742,TS462_v2_2,TS462_v1_2,0.7711,v1_v2,0.763,0.7711,0.742,0.7542,3,2,2,2
TS022,Yang,1.5119,0.7668,0.7451,TS022_v1_3,TS022_v2_5,0.7668,v1_v1,0.7668,0.7668,0.7451,0.7451,3,3,1,5
TS145,colabfold_baseline,1.5101,0.7663,0.7438,TS145_v1_3,TS145_v2_3,0.7663,v1_v1,0.7663,0.7662,0.7438,0.7438,3,3,3,3
TS198,colabfold,1.51,0.7667,0.7433,TS198_v1_3,TS198_v2_2,0.7667,v1_v1,0.7667,0.7666,0.7431,0.7433,3,3,2,2
TS204,Zou,1.5095,0.7642,0.7453,TS204_v1_4,TS204_v2_5,0.7642,v1_v1,0.7642,0.7639,0.7475,0.7453,4,5,5,5
TS075,GHZ-ISM,1.5079,0.7621,0.7458,TS075_v1_2,TS075_v2_4,0.7621,v1_v1,0.7621,0.7568,0.744,0.7458,2,4,3,4
TS284,Unicorn,1.5079,0.7621,0.7458,TS284_v1_2,TS284_v2_4,0.7621,v1_v1,0.7621,0.7568,0.744,0.7458,2,4,3,4
TS122,MQA_server,1.5079,0.7621,0.7458,TS122_v1_2,TS122_v2_4,0.7621,v1_v1,0.7621,0.7568,0.744,0.7458,2,4,3,4
