Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Balance,TSBI_Score
TS028,NKRNA-s,1.6655,0.8158,0.8497,TS028_v1_4,TS028_v2_1,0.8497,v2_v2,0.8158,0.8126,0.8482,0.8497,4.0,2.0,3.0,1.0,0.9796457520264185,1.6316
TS051,MULTICOM,1.6578,0.8124,0.8454,TS051_v1_3,TS051_v2_2,0.8454,v2_v2,0.8124,0.8124,0.8454,0.8454,3.0,1.0,2.0,2.0,0.9800941006152732,1.6248
TS345,MULTICOM_human,1.6578,0.8124,0.8454,TS345_v1_1,TS345_v2_2,0.8454,v2_v2,0.8124,0.8124,0.8454,0.8454,1.0,3.0,2.0,2.0,0.9800941006152732,1.6248
TS456,Yang-Multimer,1.6518,0.8097,0.8421,TS456_v1_3,TS456_v2_4,0.8421,v2_v2,0.8097,0.8097,0.8421,0.8421,3.0,3.0,1.0,4.0,0.9803850345078097,1.6194
TS208,falcon2,1.6631,0.8084,0.8547,TS208_v1_4,TS208_v2_4,0.8547,v2_v2,0.8084,0.7994,0.8312,0.8547,4.0,4.0,1.0,4.0,0.9721604233058746,1.6168
TS235,isyslab-hust,1.6467999999999998,0.8078,0.839,TS235_v2_4,TS235_v1_2,0.839,v2_v1,0.8115,0.8078,0.839,0.8351,1.0,4.0,2.0,1.0,0.9810541656546029,1.6156
TS425,MULTICOM_GATE,1.6524,0.807,0.8454,TS425_v1_2,TS425_v2_1,0.8454,v2_v2,0.807,0.807,0.8454,0.8454,2.0,2.0,5.0,1.0,0.9767610748002905,1.614
TS462,Zheng,1.6503999999999999,0.8057,0.8447,TS462_v1_4,TS462_v2_2,0.8447,v2_v2,0.8057,0.8113,0.8358,0.8447,4.0,2.0,4.0,2.0,0.9763693650024237,1.6114
TS110,MIEnsembles-Server,1.6461999999999999,0.799,0.8472,TS110_v2_5,TS110_v1_2,0.8472,v2_v1,0.8003,0.799,0.8472,0.8461,1.0,5.0,2.0,5.0,0.9707204470902685,1.5979999999999999
TS022,Yang,1.6406999999999998,0.7986,0.8421,TS022_v1_5,TS022_v2_1,0.8421,v2_v2,0.7986,0.7929,0.8421,0.8421,5.0,1.0,2.0,1.0,0.97348692631194,1.5971999999999997
TS331,MULTICOM_AI,1.641,0.7956,0.8454,TS331_v1_2,TS331_v2_1,0.8454,v2_v2,0.7956,0.7956,0.8454,0.8454,2.0,2.0,5.0,1.0,0.969652650822669,1.5912
TS319,MULTICOM_LLM,1.641,0.7956,0.8454,TS319_v1_2,TS319_v2_1,0.8454,v2_v2,0.7956,0.7956,0.8454,0.8454,2.0,2.0,5.0,1.0,0.969652650822669,1.5912
TS221,CSSB_FAKER,1.631,0.795,0.836,TS221_v1_2,TS221_v2_2,0.836,v2_v2,0.795,0.8038,0.8294,0.836,2.0,1.0,3.0,2.0,0.9748620478234212,1.59
TS419,CSSB-Human,1.631,0.795,0.836,TS419_v1_2,TS419_v2_2,0.836,v2_v2,0.795,0.8038,0.8294,0.836,2.0,1.0,3.0,2.0,0.9748620478234212,1.59
TS052,Yang-Server,1.6360999999999999,0.7938,0.8423,TS052_v1_1,TS052_v2_4,0.8423,v2_v2,0.7938,0.7938,0.8423,0.8423,1.0,4.0,1.0,4.0,0.9703563351873357,1.5875999999999997
TS489,Fernandez-Recio,1.6411,0.7928,0.8483,TS489_v1_3,TS489_v2_5,0.8483,v2_v2,0.7928,0.7973,0.8355,0.8483,3.0,5.0,3.0,5.0,0.9661812199134726,1.5856
TS019,Zheng-Server,1.6432,0.7927,0.8505,TS019_v1_1,TS019_v2_5,0.8505,v2_v2,0.7927,0.7927,0.8505,0.8505,1.0,2.0,4.0,5.0,0.9648247322297955,1.5854
