Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Balance,TSBI_Score
TS015,PEZYFoldings,1.9217,0.9636,0.9581,TS015_v1_2,TS015_v2_1,0.9636,v1_v1,0.9636,0.0,0.0,0.9581,2,,,1,0.9971379507727532,1.9162
TS079,MRAFold,1.9182000000000001,0.9605,0.9577,TS079_v1_2,TS079_v2_4,0.9605,v1_v1,0.9605,0.0,0.0,0.9577,2,,,4,0.9985402981962256,1.9154
TS293,MRAH,1.9182000000000001,0.9605,0.9577,TS293_v1_2,TS293_v2_4,0.9605,v1_v1,0.9605,0.0,0.0,0.9577,2,,,4,0.9985402981962256,1.9154
TS456,Yang-Multimer,1.9165999999999999,0.9568,0.9598,TS456_v1_2,TS456_v2_2,0.9598,v2_v2,0.9568,0.0,0.0,0.9598,2,,,2,0.9984347281644579,1.9135999999999997
TS311,RAGfold_Prot1,1.9101,0.9536,0.9565,TS311_v1_2,TS311_v2_2,0.9565,v2_v2,0.9536,0.0,0.0,0.9565,2,,,2,0.9984817548819434,1.9072
TS014,Cool-PSP,1.9100000000000001,0.9566,0.9534,TS014_v1_1,TS014_v2_1,0.9566,v1_v1,0.9566,0.0,0.0,0.9534,1,,,1,0.998324607329843,1.9068000000000003
TS450,OpenComplex_Server,1.9141,0.9608,0.9533,TS450_v1_5,TS450_v2_4,0.9608,v1_v1,0.9608,0.0,0.0,0.9533,5,,,4,0.9960817094195705,1.9065999999999999
TS167,OpenComplex,1.9141,0.9608,0.9533,TS167_v1_5,TS167_v2_4,0.9608,v1_v1,0.9608,0.0,0.0,0.9533,5,,,4,0.9960817094195705,1.9065999999999999
TS397,smg_ulaval,1.9108,0.9584,0.9524,TS397_v1_1,TS397_v2_1,0.9584,v1_v1,0.9584,0.0,0.0,0.9524,1,,,1,0.9968599539459913,1.9048
TS091,Huang-HUST,1.9113,0.9515,0.9598,TS091_v1_1,TS091_v2_5,0.9598,v2_v2,0.9515,0.0,0.0,0.9598,1,,,5,0.9956574059540627,1.903
TS423,ShanghaiTech-server,1.9042,0.951,0.9532,TS423_v1_2,TS423_v2_4,0.9532,v2_v2,0.951,0.0,0.0,0.9532,2,,,4,0.9988446591744564,1.902
TS264,GuijunLab-Human,1.9038,0.9528,0.951,TS264_v1_3,TS264_v2_1,0.9528,v1_v1,0.9528,0.0,0.0,0.951,3,,,1,0.9990545225338796,1.902
TS312,GuijunLab-Assembly,1.9038,0.9528,0.951,TS312_v1_3,TS312_v2_1,0.9528,v1_v1,0.9528,0.0,0.0,0.951,3,,,1,0.9990545225338796,1.902
TS219,XGroup-Server,1.9109,0.9507,0.9602,TS219_v1_4,TS219_v2_1,0.9602,v2_v2,0.9507,0.0,0.0,0.9602,4,,,1,0.995028520592391,1.9014
TS322,XGroup,1.9109,0.9507,0.9602,TS322_v1_4,TS322_v2_1,0.9602,v2_v2,0.9507,0.0,0.0,0.9602,4,,,1,0.995028520592391,1.9014
TS462,Zheng,1.9083999999999999,0.9501,0.9583,TS462_v1_1,TS462_v2_6,0.9583,v2_v2,0.9501,0.0,0.0,0.9583,1,,,6,0.9957032068748689,1.9001999999999997
