Model,Group,Model Number,GlobalLDDT
R1203TS294_1,TS294,1,0.829
R1203TS241_1,TS241,1,0.829
R1203TS304_1,TS304,1,0.829
R1203TS304_3,TS304,3,0.824
R1203TS241_3,TS241,3,0.824
R1203TS272_1,TS272,1,0.824
R1203TS304_4,TS304,4,0.823
R1203TS238_5,TS238,5,0.823
R1203TS272_5,TS272,5,0.823
R1203TS241_4,TS241,4,0.823
R1203TS276_1,TS276,1,0.823
R1203TS369_2,TS369,2,0.821
R1203TS369_3,TS369,3,0.821
R1203TS304_2,TS304,2,0.82
R1203TS272_4,TS272,4,0.82
R1203TS241_2,TS241,2,0.82
R1203TS235_5,TS235,5,0.819
R1203TS369_5,TS369,5,0.818
R1203TS400_1,TS400,1,0.818
R1203TS235_2,TS235,2,0.816
R1203TS435_5,TS435,5,0.815
R1203TS167_2,TS167,2,0.814
R1203TS159_2,TS159,2,0.81
R1203TS006_3,TS006,3,0.809
R1203TS231_5,TS231,5,0.807
R1203TS006_1,TS006,1,0.804
R1203TS369_4,TS369,4,0.799
R1203TS006_4,TS006,4,0.795
R1203TS304_5,TS304,5,0.792
R1203TS241_5,TS241,5,0.792
R1203TS006_5,TS006,5,0.789
R1203TS006_2,TS006,2,0.787
R1203TS159_1,TS159,1,0.782
R1203TS183_5,TS183,5,0.77
R1203TS063_3,TS063,3,0.767
R1203TS183_2,TS183,2,0.766
R1203TS294_3,TS294,3,0.765
R1203TS294_2,TS294,2,0.765
R1203TS286_1,TS286,1,0.764
R1203TS294_4,TS294,4,0.764
R1203TS286_2,TS286,2,0.76
R1203TS238_4,TS238,4,0.755
R1203TS063_5,TS063,5,0.754
R1203TS063_1,TS063,1,0.753
R1203TS238_1,TS238,1,0.751
R1203TS481_3,TS481,3,0.75
R1203TS183_4,TS183,4,0.75
R1203TS481_4,TS481,4,0.749
R1203TS238_2,TS238,2,0.748
R1203TS238_3,TS238,3,0.747
R1203TS063_4,TS063,4,0.746
R1203TS063_2,TS063,2,0.746
R1203TS481_1,TS481,1,0.746
R1203TS286_4,TS286,4,0.744
R1203TS183_1,TS183,1,0.742
R1203TS286_5,TS286,5,0.741
R1203TS481_2,TS481,2,0.74
R1203TS165_3,TS165,3,0.739
R1203TS481_5,TS481,5,0.737
R1203TS456_1,TS456,1,0.729
R1203TS286_3,TS286,3,0.722
R1203TS417_2,TS417,2,0.722
R1203TS417_1,TS417,1,0.719
R1203TS189_2,TS189,2,0.718
R1203TS448_5,TS448,5,0.716
R1203TS417_5,TS417,5,0.714
R1203TS317_4,TS317,4,0.714
R1203TS165_2,TS165,2,0.713
R1203TS189_1,TS189,1,0.712
R1203TS338_5,TS338,5,0.711
R1203TS189_3,TS189,3,0.711
R1203TS338_2,TS338,2,0.71
R1203TS183_3,TS183,3,0.71
R1203TS189_5,TS189,5,0.706
R1203TS189_4,TS189,4,0.704
R1203TS417_4,TS417,4,0.703
R1203TS028_2,TS028,2,0.701
R1203TS052_1,TS052,1,0.7
R1203TS338_1,TS338,1,0.698
R1203TS435_1,TS435,1,0.695
R1203TS052_5,TS052,5,0.692
R1203TS165_1,TS165,1,0.686
R1203TS272_3,TS272,3,0.685
R1203TS267_1,TS267,1,0.684
R1203TS338_4,TS338,4,0.684
R1203TS338_3,TS338,3,0.682
R1203TS435_4,TS435,4,0.679
R1203TS267_5,TS267,5,0.679
R1203TS267_4,TS267,4,0.677
R1203TS456_2,TS456,2,0.672
R1203TS267_3,TS267,3,0.671
R1203TS435_6,TS435,6,0.67
R1203TS435_2,TS435,2,0.667
R1203TS448_1,TS448,1,0.661
R1203TS435_3,TS435,3,0.66
R1203TS267_2,TS267,2,0.657
R1203TS294_5,TS294,5,0.654
R1203TS052_2,TS052,2,0.653
R1203TS028_3,TS028,3,0.647
R1203TS165_5,TS165,5,0.642
R1203TS317_5,TS317,5,0.633
R1203TS231_2,TS231,2,0.625
R1203TS159_4,TS159,4,0.623
R1203TS367_1,TS367,1,0.62
R1203TS165_4,TS165,4,0.617
R1203TS231_1,TS231,1,0.617
R1203TS456_4,TS456,4,0.61
R1203TS159_5,TS159,5,0.605
R1203TS317_2,TS317,2,0.597
R1203TS235_4,TS235,4,0.595
R1203TS156_1,TS156,1,0.595
R1203TS159_3,TS159,3,0.594
R1203TS358_3,TS358,3,0.591
R1203TS052_4,TS052,4,0.587
R1203TS028_1,TS028,1,0.583
R1203TS235_3,TS235,3,0.578
R1203TS462_1,TS462,1,0.572
R1203TS052_3,TS052,3,0.571
R1203TS235_1,TS235,1,0.569
R1203TS450_2,TS450,2,0.567
R1203TS110_1,TS110,1,0.564
R1203TS272_2,TS272,2,0.56
R1203TS450_3,TS450,3,0.559
R1203TS167_3,TS167,3,0.558
R1203TS462_4,TS462,4,0.553
R1203TS110_5,TS110,5,0.545
R1203TS450_1,TS450,1,0.545
R1203TS462_3,TS462,3,0.539
R1203TS110_3,TS110,3,0.538
R1203TS423_1,TS423,1,0.538
R1203TS462_5,TS462,5,0.538
R1203TS298_1,TS298,1,0.538
R1203TS450_4,TS450,4,0.535
R1203TS110_4,TS110,4,0.532
R1203TS167_5,TS167,5,0.531
R1203TS317_3,TS317,3,0.526
R1203TS450_5,TS450,5,0.525
R1203TS110_2,TS110,2,0.523
R1203TS462_2,TS462,2,0.523
R1203TS448_4,TS448,4,0.522
R1203TS167_4,TS167,4,0.521
R1203TS156_4,TS156,4,0.513
R1203TS448_2,TS448,2,0.513
R1203TS358_1,TS358,1,0.511
R1203TS167_1,TS167,1,0.509
R1203TS448_3,TS448,3,0.499
R1203TS358_4,TS358,4,0.499
R1203TS156_5,TS156,5,0.495
R1203TS358_2,TS358,2,0.493
R1203TS403_1,TS403,1,0.487
R1203TS231_4,TS231,4,0.472
R1203TS231_3,TS231,3,0.47
R1203TS358_5,TS358,5,0.468
R1203TS169_4,TS169,4,0.461
R1203TS417_3,TS417,3,0.443
R1203TS456_5,TS456,5,0.439
R1203TS208_1,TS208,1,0.393
R1203TS261_3,TS261,3,0.391
R1203TS169_5,TS169,5,0.381
R1203TS261_1,TS261,1,0.378
R1203TS261_4,TS261,4,0.376
R1203TS169_2,TS169,2,0.367
R1203TS261_5,TS261,5,0.347
R1203TS169_1,TS169,1,0.339
R1203TS261_2,TS261,2,0.335
R1203TS169_3,TS169,3,0.335
R1203TS028_4,TS028,4,0.3
R1203TS094_5,TS094,5,0.116
R1203TS369_1,TS369,1,0.108
R1203TS094_3,TS094,3,0.086
R1203TS156_3,TS156,3,0.073
R1203TS094_4,TS094,4,0.067
R1203TS094_1,TS094,1,0.047
R1203TS156_2,TS156,2,0.046
R1203TS094_2,TS094,2,0.037
R1203TS317_1,TS317,1,0.022
R1203TS306_1,TS306,1,0.008
R1203TS033_1,TS033,1,0.0
R1203TS456_3,TS456,3,0.0
R1203TS033_3,TS033,3,0.0
R1203TS033_4,TS033,4,0.0
R1203TS033_5,TS033,5,0.0
R1203TS033_2,TS033,2,0.0
