Model,Group,Model Number,Model Version,TMscore
T1249v1TS079_1,TS079,1,v1,0.9543
T1249v1TS167_5,TS167,5,v1,0.9608
T1249v1TS022_5,TS022,5,v1,0.9419
T1249v1TS164_2,TS164,2,v1,0.9374
T1249v1TS075_5,TS075,5,v1,0.9395
T1249v1TS425_5,TS425,5,v1,0.9382
T1249v1TS019_4,TS019,4,v1,0.9434
T1249v1TS468_1,TS468,1,v1,0.9374
T1249v1TS345_6,TS345,6,v1,0.5341
T1249v1TS221_3,TS221,3,v1,0.8323
T1249v1TS311_1,TS311,1,v1,0.9491
T1249v1TS465_4,TS465,4,v1,0.5286
T1249v1TS014_1,TS014,1,v1,0.9566
T1249v1TS274_5,TS274,5,v1,0.9328
T1249v1TS331_5,TS331,5,v1,0.9382
T1249v1TS489_3,TS489,3,v1,0.6202
T1249v1TS110_1,TS110,1,v1,0.943
T1249v1TS262_5,TS262,5,v1,0.9349
T1249v1TS393_1,TS393,1,v1,0.9386
T1249v1TS147_1,TS147,1,v1,0.9501
T1249v1TS148_2,TS148,2,v1,0.9429
T1249v1TS023_4,TS023,4,v1,0.1387
T1249v1TS059_5,TS059,5,v1,0.9328
T1249v1TS261_2,TS261,2,v1,0.9417
T1249v1TS219_1,TS219,1,v1,0.9383
T1249v1TS145_3,TS145,3,v1,0.9404
T1249v1TS450_3,TS450,3,v1,0.9276
T1249v1TS425_1,TS425,1,v1,0.936
T1249v1TS075_1,TS075,1,v1,0.9436
T1249v1TS241_2,TS241,2,v1,0.9345
T1249v1TS112_3,TS112,3,v1,0.9458
T1249v1TS304_2,TS304,2,v1,0.9486
T1249v1TS079_5,TS079,5,v1,0.9453
T1249v1TS022_1,TS022,1,v1,0.9346
T1249v1TS167_1,TS167,1,v1,0.939
T1249v1TS312_2,TS312,2,v1,0.9353
T1249v1TS015_4,TS015,4,v1,0.5778
T1249v1TS468_5,TS468,5,v1,0.9327
T1249v1TS345_2,TS345,2,v1,0.946
T1249v1TS311_5,TS311,5,v1,0.9412
T1249v1TS294_2,TS294,2,v1,0.9378
T1249v1TS331_1,TS331,1,v1,0.9271
T1249v1TS274_1,TS274,1,v1,0.9309
T1249v1TS017_2,TS017,2,v1,0.9474
T1249v1TS014_5,TS014,5,v1,0.9475
T1249v1TS369_2,TS369,2,v1,0.9392
T1249v1TS040_2,TS040,2,v1,0.9337
T1249v1TS147_5,TS147,5,v1,0.9394
T1249v1TS059_1,TS059,1,v1,0.9432
