Model,Composite_Score_4
R1203TS006_1 v1,31.07099348101686
R1203TS006_1 v2,32.611618847215574
R1203TS006_2 v1,10.298753068869152
R1203TS006_2 v2,10.229939348179332
R1203TS006_3 v1,31.404113037516414
R1203TS006_3 v2,31.404825380616852
R1203TS006_4 v1,10.523196448052731
R1203TS006_4 v2,10.601716960948478
R1203TS006_5 v1,10.0233944
R1203TS006_5 v2,10.25081376029986
R1203TS028_1 v1,7.876282452399238
R1203TS028_1 v2,7.891340413411473
R1203TS028_2 v1,6.612240154615026
R1203TS028_2 v2,6.453848935034335
R1203TS028_3 v1,9.628761538052903
R1203TS028_3 v2,9.509504987209697
R1203TS028_4 v1,1.3977566286907699
R1203TS028_4 v2,1.3287974277963637
R1203TS033_1 v1,1.1200667420151666e-09
R1203TS033_1 v2,1.1114753474199051e-09
R1203TS033_2 v1,1.1200667420151666e-09
R1203TS033_2 v2,1.1114753474199051e-09
R1203TS033_3 v1,1.1200667420151666e-09
R1203TS033_3 v2,1.1114753474199051e-09
R1203TS033_4 v1,1.1200667420151666e-09
R1203TS033_4 v2,1.1114753474199051e-09
R1203TS033_5 v1,1.1200667420151666e-09
R1203TS033_5 v2,1.1114753474199051e-09
R1203TS052_1 v1,10.163752531416314
R1203TS052_1 v2,9.73282618
R1203TS052_2 v1,8.394136595
R1203TS052_2 v2,8.8154097
R1203TS052_3 v1,7.383989831977724
R1203TS052_3 v2,7.8837485181600355
R1203TS052_4 v1,5.865510270960961
R1203TS052_4 v2,5.622155189117406
R1203TS052_5 v1,9.631007846279845
R1203TS052_5 v2,9.494275574377069
R1203TS063_1 v1,10.868142288583856
R1203TS063_1 v2,10.907203828893705
R1203TS063_2 v1,9.946293381472998
R1203TS063_2 v2,10.158046376125451
R1203TS063_3 v1,10.998751074791134
R1203TS063_3 v2,10.787890460026857
R1203TS063_4 v1,10.80289226444513
R1203TS063_4 v2,9.915371843
R1203TS063_5 v1,10.110001465567047
R1203TS063_5 v2,10.33924821
R1203TS094_1 v1,0.9700002440662967
R1203TS094_1 v2,1.0012601163824602
R1203TS094_2 v1,0.39875047637380706
R1203TS094_2 v2,0.40000741844700566
R1203TS094_3 v1,1.1037628428561381
R1203TS094_3 v2,1.0733987343396627
R1203TS094_4 v1,0.17625057828457674
R1203TS094_4 v2,0.21000298061861003
R1203TS094_5 v1,2.3517583338594195
R1203TS094_5 v2,1.993108565
R1203TS110_1 v1,7.933791029623508
R1203TS110_1 v2,8.701837869
R1203TS110_2 v1,7.313760088485952
R1203TS110_2 v2,7.6740128487884665
R1203TS110_3 v1,7.876300907566369
R1203TS110_3 v2,8.205381741803414
R1203TS110_4 v1,6.765009037014695
R1203TS110_4 v2,7.857586802761463
R1203TS110_5 v1,7.255011382372388
R1203TS110_5 v2,7.896777803
R1203TS156_1 v1,8.222692878750898
R1203TS156_1 v2,12.723279932432744
R1203TS156_2 v1,0.019016585
R1203TS156_2 v2,0.007754093
R1203TS156_3 v1,0.106394204
R1203TS156_3 v2,0.11819397899999998
R1203TS156_4 v1,6.513409735812698
R1203TS156_4 v2,8.067652125268456
R1203TS156_5 v1,8.907520188329602
R1203TS156_5 v2,8.554138272972502
R1203TS159_1 v1,10.72613596
R1203TS159_1 v2,47.386422387889674
R1203TS159_2 v1,31.26665134831641
R1203TS159_2 v2,31.852603332777296
R1203TS159_3 v1,8.674921015139821
R1203TS159_3 v2,8.739496652
R1203TS159_4 v1,9.065286221819076
R1203TS159_4 v2,9.981321474321124
R1203TS159_5 v1,9.034041631019994
R1203TS159_5 v2,9.276105737
R1203TS165_1 v1,10.600902053579713
R1203TS165_1 v2,11.688163234269911
R1203TS165_2 v1,10.207637919542424
R1203TS165_2 v2,10.416696041456342
R1203TS165_3 v1,11.072776003255912
R1203TS165_3 v2,10.785253617090465
R1203TS165_4 v1,7.038390797846586
