Model,Gr.Code,TMscore,TMalign
1   M1228v2TS294_3.pdb ,294,0.705,0.696
2   M1228v2TS241_1.pdb ,241,0.681,0.673
3   M1228v2TS294_1.pdb ,294,0.725,0.714
4   M1228v2TS294_5.pdb ,294,0.72,0.711
5   M1228v2TS294_2.pdb ,294,0.697,0.688
6   M1228v2TS294_4.pdb ,294,0.722,0.713
7   M1228v2TS159_1.pdb ,159,0.689,0.679
8   M1228v2TS304_3.pdb ,304s     ,0.7,0.691
9   M1228v2TS325_1.pdb ,325,0.689,0.679
10  M1228v2TS204_2.pdb ,204,0.702,0.693
11  M1228v2TS204_5.pdb ,204,0.624,0.614
12  M1228v2TS033_4.pdb ,33,0.705,0.694
13  M1228v2TS304_4.pdb ,304s     ,0.698,0.686
14  M1228v2TS304_1.pdb ,304s     ,0.7,0.688
15  M1228v2TS033_3.pdb ,33,0.661,0.654
16  M1228v2TS231_5.pdb ,231,0.68,0.667
17  M1228v2TS033_5.pdb ,33,0.716,0.703
18  M1228v2TS304_2.pdb ,304s     ,0.709,0.697
19  M1228v2TS208_5.pdb ,208s     ,0.689,0.682
20  M1228v2TS231_1.pdb ,231,0.722,0.713
21  M1228v2TS231_4.pdb ,231,0.699,0.691
22  M1228v2TS231_2.pdb ,231,0.715,0.708
23  M1228v2TS231_3.pdb ,231,0.704,0.699
24  M1228v2TS028_4.pdb ,028s     ,0.782,0.787
25  M1228v2TS241_3.pdb ,241,0.755,0.762
26  M1228v2TS110_3.pdb ,110s     ,0.785,0.787
27  M1228v2TS304_5.pdb ,304s     ,0.782,0.783
28  M1228v2TS091_2.pdb ,91,0.79,0.791
29  M1228v2TS033_2.pdb ,33,0.793,0.79
30  M1228v2TS481_1.pdb ,481,0.794,0.796
31  M1228v2TS489_3.pdb ,489,0.64,0.624
32  M1228v2TS489_4.pdb ,489,0.645,0.631
33  M1228v2TS489_1.pdb ,489,0.652,0.638
34  M1228v2TS462_2.pdb ,462,0.715,0.712
35  M1228v2TS204_1.pdb ,204,0.726,0.713
