Model,GDT_TS
R1203v1TS238_5,0.59
R1203v1TS238_5,0.59
R1203v1TS241_4,0.55
R1203v1TS294_1,0.55
R1203v1TS304_1,0.55
R1203v1TS241_1,0.55
R1203v1TS304_4,0.55
R1203v1TS241_4,0.55
R1203v1TS272_1,0.55
R1203v1TS272_1,0.55
R1203v1TS294_1,0.55
R1203v1TS304_1,0.55
R1203v1TS241_1,0.55
R1203v1TS304_4,0.55
R1203v1TS369_4,0.54
R1203v1TS272_4,0.54
R1203v1TS435_5,0.54
R1203v1TS006_3,0.54
R1203v1TS006_3,0.54
R1203v1TS369_4,0.54
R1203v1TS272_4,0.54
R1203v1TS435_5,0.54
R1203v1TS369_5,0.53
R1203v1TS276_1,0.53
R1203v1TS241_3,0.53
R1203v1TS304_3,0.53
R1203v1TS006_1,0.53
R1203v1TS006_1,0.53
R1203v1TS369_3,0.53
R1203v1TS369_3,0.53
R1203v1TS304_3,0.53
R1203v1TS276_1,0.53
R1203v1TS241_3,0.53
R1203v1TS369_5,0.53
R1203v1TS272_5,0.53
R1203v1TS272_5,0.53
R1203v1TS167_2,0.52
R1203v1TS417_2,0.52
R1203v1TS231_5,0.52
R1203v1TS241_5,0.52
R1203v1TS294_4,0.52
R1203v1TS304_5,0.52
R1203v1TS317_2,0.52
R1203v1TS159_1,0.52
R1203v1TS317_3,0.52
R1203v1TS294_2,0.52
R1203v1TS183_5,0.52
R1203v1TS294_2,0.52
R1203v1TS317_2,0.52
R1203v1TS304_5,0.52
R1203v1TS241_5,0.52
R1203v1TS167_2,0.52
R1203v1TS231_5,0.52
R1203v1TS417_2,0.52
R1203v1TS317_3,0.52
R1203v1TS159_1,0.52
R1203v1TS235_2,0.52
R1203v1TS235_2,0.52
R1203v1TS183_5,0.52
R1203v1TS417_5,0.52
R1203v1TS294_4,0.52
R1203v1TS006_5,0.52
R1203v1TS417_5,0.52
R1203v1TS006_5,0.52
R1203v1TS235_5,0.51
R1203v1TS369_2,0.51
R1203v1TS403_1,0.51
R1203v1TS417_3,0.51
R1203v1TS156_1,0.51
R1203v1TS006_2,0.51
R1203v1TS304_2,0.51
R1203v1TS241_2,0.51
R1203v1TS165_3,0.51
R1203v1TS294_3,0.51
R1203v1TS006_4,0.51
R1203v1TS165_3,0.51
R1203v1TS006_4,0.51
R1203v1TS241_2,0.51
R1203v1TS304_2,0.51
R1203v1TS006_2,0.51
