Model,Global_GDT,Version,Group
T1228v1TS148_3,60.066,v1,TS148
T1228v1TS314_1,55.009,v1,TS314
T1228v1TS022_1,54.916,v1,TS022
T1228v1TS091_5,54.635,v1,TS091
T1228v1TS212_2,52.481,v1,TS212
T1228v1TS147_4,52.434,v1,TS147
T1228v1TS052_2,52.388,v1,TS052
T1228v1TS456_2,52.388,v1,TS456
T1228v1TS262_1,51.966,v1,TS262
T1228v1TS241_2,51.826,v1,TS241
T1228v1TS033_4,51.826,v1,TS033
T1228v1TS462_4,51.826,v1,TS462
T1228v1TS075_3,50.421,v1,TS075
T1228v1TS122_3,50.421,v1,TS122
T1228v1TS284_3,50.421,v1,TS284
T1228v1TS019_5,49.625,v1,TS019
T1228v1TS294_3,49.438,v1,TS294
T1228v1TS204_1,48.268,v1,TS204
T1228v1TS304_1,48.174,v1,TS304
T1228v1TS450_2,48.127,v1,TS450
T1228v1TS264_6,48.127,v1,TS264
T1228v1TS167_2,48.127,v1,TS167
T1228v1TS298_1,47.8,v1,TS298
T1228v1TS286_3,47.706,v1,TS286
T1228v1TS375_3,47.566,v1,TS375
T1228v1TS274_2,47.519,v1,TS274
T1228v1TS494_2,47.519,v1,TS494
T1228v1TS231_4,47.331,v1,TS231
T1228v1TS425_3,47.331,v1,TS425
T1228v1TS051_2,47.331,v1,TS051
T1228v1TS345_2,47.331,v1,TS345
T1228v1TS331_4,47.331,v1,TS331
T1228v1TS319_4,47.331,v1,TS319
T1228v1TS369_1,47.285,v1,TS369
T1228v1TS312_4,47.238,v1,TS312
T1228v1TS465_5,47.097,v1,TS465
T1228v1TS481_1,46.91,v1,TS481
T1228v1TS419_3,46.77,v1,TS419
T1228v1TS301_3,46.77,v1,TS301
T1228v1TS311_5,46.723,v1,TS311
T1228v1TS221_5,46.629,v1,TS221
T1228v1TS110_2,46.442,v1,TS110
T1228v1TS028_2,46.395,v1,TS028
T1228v1TS198_2,46.161,v1,TS198
T1228v1TS267_1,45.88,v1,TS267
T1228v1TS235_3,45.833,v1,TS235
T1228v1TS287_2,45.599,v1,TS287
T1228v1TS196_5,45.365,v1,TS196
T1228v1TS489_2,45.272,v1,TS489
T1228v1TS388_3,45.084,v1,TS388
T1228v1TS079_2,44.944,v1,TS079
T1228v1TS325_1,44.944,v1,TS325
T1228v1TS293_2,44.944,v1,TS293
T1228v1TS159_1,44.944,v1,TS159
T1228v1TS208_1,44.663,v1,TS208
T1228v1TS059_3,44.616,v1,TS059
T1228v1TS015_5,44.429,v1,TS015
T1228v1TS164_1,43.633,v1,TS164
T1228v1TS017_5,43.633,v1,TS017
T1228v1TS112_4,43.633,v1,TS112
T1228v1TS145_3,43.633,v1,TS145
T1228v1TS163_2,42.79,v1,TS163
T1228v1TS475_2,42.697,v1,TS475
T1228v1TS014_6,42.556,v1,TS014
T1228v1TS269_1,42.275,v1,TS269
T1228v1TS023_3,39.841,v1,TS023
T1228v1TS139_4,38.343,v1,TS139
T1228v1TS120_2,37.687,v1,TS120
T1228v1TS361_1,32.959,v1,TS361
