Model,dockq_interface_1,interface_1_name,dockq_interface_2,interface_2_name,dockq_interface_3,interface_3_name,Average_dockq
T1249v1TS015_2o,0.701,ABCA,0.716,ACCB,0.721,BCAB,0.7126666666666667
T1249v2TS015_1o,0.701,ABCA,0.716,ACCB,0.721,BCAB,0.7126666666666667
T1249v2TS345_4o,0.681,ABAC,0.687,ACAB,0.686,BCCB,0.6846666666666668
T1249v1TS456_2o,0.655,ABBA,0.653,ACBC,0.654,BCAC,0.654
T1249v2TS456_2o,0.655,ABBA,0.653,ACBC,0.654,BCAC,0.654
T1249v2TS397_1o,0.651,ABBC,0.657,ACBA,0.65,BCCA,0.6526666666666667
T1249v1TS014_1o,0.656,ABAC,0.638,ACAB,0.649,BCCB,0.6476666666666667
T1249v1TS079_2o,0.619,ABCB,0.626,ACCA,0.623,BCBA,0.6226666666666667
T1249v1TS293_2o,0.619,ABCB,0.626,ACCA,0.623,BCBA,0.6226666666666667
T1249v2TS465_3o,0.595,ABBA,0.57,ACBC,0.583,BCAC,0.5826666666666667
T1249v1TS465_1o,0.595,ABBA,0.57,ACBC,0.583,BCAC,0.5826666666666667
T1249v2TS312_2o,0.581,ABBC,0.57,ACBA,0.594,BCCA,0.5816666666666666
T1249v2TS264_2o,0.581,ABBC,0.57,ACBA,0.594,BCCA,0.5816666666666666
T1249v2TS148_2o,0.581,ABBC,0.57,ACBA,0.594,BCCA,0.5816666666666666
T1249v1TS397_1o,0.567,ABBC,0.572,ACBA,0.568,BCCA,0.569
T1249v1TS014_2o,0.571,ABBA,0.564,ACBC,0.565,BCAC,0.5666666666666665
T1249v2TS122_2o,0.563,ABCA,0.572,ACCB,0.563,BCAB,0.566
T1249v2TS075_1o,0.563,ABCA,0.572,ACCB,0.563,BCAB,0.566
T1249v2TS284_1o,0.563,ABCA,0.572,ACCB,0.563,BCAB,0.566
T1249v2TS475_1o,0.563,ABCA,0.572,ACCB,0.563,BCAB,0.566
