Model,Global_GDT
T1228v1TS361_5,31.695
T1228v2TS148_2,53.043
T1228v1TS345_4,47.659
T1228v1TS059_1,43.024
T1228v2TS112_5,43.493
T1228v2TS311_2,49.86
T1228v1TS475_1,47.8
T1228v1TS204_5,46.723
T1228v2TS369_2,54.822
T1228v1TS241_5,48.642
T1228v1TS079_4,49.625
T1228v2TS462_1,48.408
T1228v1TS287_3,53.464
T1228v2TS051_6,41.058
T1228v2TS014_6,58.567
T1228v2TS425_3,50.375
T1228v1TS023_3,45.787
T1228v2TS274_2,56.32
T1228v1TS319_5,48.876
T1228v2TS231_2,55.431
T1228v1TS164_4,47.659
T1228v1TS319_4,53.137
T1228v2TS274_3,49.86
T1228v1TS164_5,47.097
T1228v2TS231_3,55.852
T1228v1TS023_2,45.787
T1228v2TS425_2,55.852
T1228v1TS304_1,48.642
T1228v1TS287_2,54.073
T1228v2TS369_3,52.528
T1228v1TS204_4,41.292
T1228v1TS079_5,48.408
T1228v1TS241_4,48.361
T1228v2TS311_3,45.131
T1228v2TS112_4,50.468
T1228v1TS345_5,50.515
T1228v2TS148_3,54.448
T1228v1TS361_4,31.648
T1228v2TS110_4,42.275
T1228v2TS091_5,43.399
T1228v2TS148_1,53.652
T1228v1TS059_2,43.914
T1228v2TS311_1,47.893
T1228v2TS235_5,38.811
T1228v1TS475_2,48.315
T1228v1TS267_5,48.408
T1228v2TS208_5,54.541
T1228v2TS369_1,53.324
T1228v2TS075_4,42.556
T1228v2TS462_2,47.566
T1228v2TS331_4,53.137
T1228v2TS014_5,58.146
T1228v1TS304_3,57.631
T1228v2TS051_5,50.515
T1228v2TS269_4,49.719
T1228v2TS231_1,55.15
T1228v2TS274_1,55.805
T1228v2TS294_4,58.099
T1228v2TS294_5,59.972
T1228v1TS023_1,45.787
T1228v2TS425_1,53.137
T1228v2TS014_4,56.976
T1228v2TS269_5,48.923
T1228v2TS051_4,56.648
T1228v1TS304_2,55.618
T1228v2TS331_5,48.876
T1228v1TS287_1,47.285
T1228v2TS462_3,60.674
T1228v2TS075_5,41.386
T1228v1TS267_4,48.455
T1228v1TS475_3,45.74
T1228v2TS235_4,38.811
T1228v1TS345_6,36.283
T1228v1TS059_3,45.459
T1228v2TS091_4,43.352
T1228v2TS110_5,43.867
T1228v1TS361_3,31.882
T1228v2TS110_1,42.463
T1228v2TS148_4,51.498
T1228v2TS112_3,54.354
T1228v1TS345_2,53.137
T1228v2TS311_4,48.876
T1228v1TS287_5,45.88
T1228v1TS204_3,43.633
T1228v2TS369_4,50.14
T1228v2TS075_1,41.199
T1228v1TS241_3,55.197
T1228v1TS079_2,54.822
T1228v2TS331_1,56.648
T1228v2TS425_5,48.876
T1228v2TS269_1,50.702
T1228v1TS298_2,50.234
T1228v2TS294_1,59.644
T1228v2TS274_4,52.013
T1228v1TS319_3,50.375
T1228v2TS231_4,56.273
T1228v1TS164_2,47.612
T1228v1TS023_5,45.787
T1228v1TS023_4,45.787
T1228v1TS319_2,56.648
T1228v2TS274_5,49.766
T1228v1TS164_3,46.395
T1228v2TS231_5,52.949
T1228v1TS298_3,54.354
T1228v2TS051_1,47.659
T1228v2TS014_1,46.582
T1228v2TS425_4,49.064
T1228v2TS369_5,54.073
T1228v1TS204_2,52.996
T1228v1TS079_3,52.481
T1228v1TS241_2,43.024
T1228v1TS267_1,54.682
T1228v1TS287_4,50.89
T1228v2TS235_1,50.796
T1228v2TS311_5,47.893
T1228v1TS345_3,56.648
T1228v1TS059_6,40.403
T1228v2TS112_2,47.238
T1228v2TS148_5,54.073
T1228v1TS361_2,32.584
T1228v2TS091_1,54.448
T1228v2TS091_3,43.071
T1228v1TS159_1,49.345
T1228v2TS110_2,41.854
T1228v1TS345_1,49.064
T1228v1TS059_4,43.305
T1228v1TS475_4,48.502
T1228v2TS235_3,46.348
T1228v2TS462_4,42.65
T1228v1TS079_1,49.86
T1228v2TS075_2,40.403
T1228v1TS267_3,48.876
T1228v2TS331_2,49.064
T1228v2TS014_3,58.052
T1228v1TS304_5,57.21
T1228v2TS051_3,49.064
T1228v2TS269_2,47.472
T1228v2TS294_2,59.831
T1228v1TS298_1,54.354
T1228v1TS164_1,48.034
T1228v1TS319_1,49.064
T1228v2TS294_3,57.303
T1228v2TS014_2,46.255
T1228v2TS269_3,49.813
T1228v2TS051_2,53.137
T1228v1TS304_4,57.725
T1228v2TS331_3,50.375
T1228v1TS267_2,51.592
T1228v1TS241_1,50.234
T1228v2TS075_3,38.904
T1228v1TS204_1,62.172
T1228v2TS462_5,44.71
T1228v2TS235_2,43.961
T1228v1TS475_5,46.957
T1228v2TS112_1,40.777
T1228v1TS059_5,40.403
T1228v2TS110_3,40.075
T1228v1TS361_1,32.772
T1228v2TS091_2,54.541
T1228v2TS481_5,41.667
T1228v2TS015_5,38.39
T1228v1TS284_2,43.305
T1228v2TS314_5,43.82
T1228v1TS456_5,46.301
T1228v2TS388_4,38.811
T1228v1TS167_5,49.485
T1228v1TS122_5,37.687
T1228v2TS375_4,59.41
T1228v1TS489_2,55.478
T1228v1TS139_6,40.403
T1228v2TS465_4,47.987
T1228v1TS262_1,42.322
T1228v1TS145_2,50.187
T1228v2TS028_5,44.148
T1228v1TS163_1,51.498
T1228v2TS312_3,43.539
T1228v2TS293_2,54.822
T1228v1TS450_3,49.345
T1228v2TS419_1,50.843
T1228v1TS450_2,55.337
T1228v2TS293_3,52.481
T1228v2TS312_2,44.569
T1228v2TS028_4,41.105
T1228v1TS145_3,54.354
T1228v1TS147_1,62.313
T1228v2TS465_5,45.037
T1228v1TS489_3,47.893
T1228v2TS375_5,55.243
T1228v1TS167_4,49.485
T1228v1TS122_4,41.573
T1228v1TS286_1,54.073
T1228v2TS388_5,37.313
T1228v1TS456_4,52.669
T1228v1TS022_1,42.697
T1228v2TS314_4,46.536
T1228v1TS284_3,44.195
T1228v2TS481_4,42.182
T1228v1TS264_6,55.946
T1228v2TS015_4,45.131
T1228v2TS033_5,55.103
T1228v2TS015_6,46.91
T1228v1TS264_4,52.856
T1228v1TS019_5,42.041
T1228v1TS221_4,55.197
T1228v1TS284_1,41.667
T1228v1TS198_4,43.399
T1228v1TS022_3,53.839
T1228v1TS120_4,38.343
T1228v2TS052_4,59.504
T1228v2TS017_4,43.493
T1228v1TS286_3,53.277
T1228v2TS196_5,53.371
T1228v1TS139_5,36.751
T1228v1TS301_4,43.539
T1228v1TS489_1,47.893
T1228v1TS494_4,52.013
T1228v2TS212_5,54.728
T1228v1TS147_3,42.369
T1228v1TS262_2,55.899
T1228v1TS163_2,53.043
T1228v1TS145_1,40.777
T1228v2TS419_3,47.8
T1228v2TS293_1,49.86
T1228v2TS419_2,53.792
T1228v1TS450_1,57.069
T1228v2TS312_1,37.734
T1228v1TS163_3,52.669
T1228v1TS262_3,42.322
T1228v1TS147_2,50.421
T1228v2TS212_4,55.103
T1228v1TS494_5,49.766
T1228v1TS301_5,45.88
T1228v1TS139_4,40.59
T1228v1TS286_2,50.655
T1228v2TS196_4,52.996
T1228v2TS052_5,53.933
T1228v2TS017_5,54.354
T1228v1TS120_5,37.594
T1228v1TS022_2,53.933
T1228v1TS198_5,49.766
T1228v1TS264_5,54.167
T1228v1TS221_5,54.26
T1228v1TS019_4,51.685
T1228v2TS033_4,54.354
T1228v1TS284_4,41.573
T1228v1TS198_1,49.579
T1228v1TS221_1,54.401
T1228v2TS481_3,45.506
T1228v2TS015_3,37.921
T1228v1TS264_1,53.605
T1228v1TS456_3,58.333
T1228v1TS120_1,34.738
T1228v2TS314_3,48.549
T1228v2TS388_2,42.65
T1228v2TS017_1,43.258
T1228v2TS052_1,47.659
T1228v2TS375_2,55.993
T1228v1TS167_3,49.345
T1228v1TS122_3,44.195
T1228v2TS465_2,47.378
T1228v1TS489_4,48.876
T1228v1TS301_1,44.335
T1228v1TS494_1,55.805
T1228v1TS450_5,49.485
T1228v2TS293_4,49.625
T1228v2TS312_5,46.067
T1228v1TS145_4,43.212
T1228v2TS028_3,41.105
T1228v2TS028_2,42.931
T1228v1TS145_5,47.519
T1228v2TS312_4,41.011
T1228v2TS293_5,48.408
T1228v1TS450_4,49.485
T1228v1TS325_1,49.345
T1228v2TS212_1,54.401
T1228v1TS489_5,49.766
T1228v1TS139_1,37.828
T1228v2TS465_3,49.579
T1228v1TS167_2,55.337
T1228v1TS122_2,43.305
T1228v2TS375_3,56.039
T1228v2TS388_3,44.569
T1228v2TS196_1,49.204
T1228v2TS314_2,47.097
T1228v1TS456_2,43.82
T1228v2TS481_2,55.665
T1228v1TS019_1,49.251
T1228v2TS015_2,51.124
T1228v2TS033_1,56.882
T1228v1TS284_5,37.687
T1228v1TS198_2,56.32
T1228v1TS264_2,52.013
T1228v1TS019_3,50.749
T1228v1TS221_2,49.579
T1228v2TS033_3,54.448
T1228v1TS120_2,37.406
T1228v1TS022_5,45.459
T1228v2TS388_1,42.228
T1228v1TS286_5,56.133
T1228v2TS196_3,49.86
T1228v2TS052_2,43.82
T1228v2TS017_2,50.234
T1228v2TS375_1,57.678
T1228v2TS465_1,44.476
T1228v1TS139_3,38.717
T1228v1TS301_2,45.88
T1228v2TS212_3,54.869
T1228v1TS147_5,41.245
T1228v1TS494_2,56.32
T1228v1TS262_4,55.899
T1228v2TS419_5,51.498
T1228v1TS163_4,51.919
T1228v1TS163_5,53.23
T1228v2TS028_1,42.509
T1228v2TS419_4,55.524
T1228v1TS262_5,42.322
T1228v1TS494_3,49.86
T1228v1TS147_4,42.182
T1228v2TS212_2,55.009
T1228v1TS301_3,55.946
T1228v1TS139_2,36.283
T1228v1TS122_1,41.667
T1228v1TS167_1,57.069
T1228v2TS052_3,57.818
T1228v2TS017_3,40.777
T1228v1TS286_4,51.311
T1228v2TS196_2,49.438
T1228v1TS022_4,57.21
T1228v2TS314_1,42.088
T1228v1TS120_3,35.206
T1228v1TS456_1,51.545
T1228v2TS033_2,53.371
T1228v1TS264_3,54.213
T1228v2TS015_1,47.285
T1228v1TS221_3,53.886
T1228v2TS481_1,55.665
T1228v1TS019_2,50.281
T1228v1TS198_3,50.515
T1228v2TS167_2,44.195
T1228v2TS122_2,40.403
T1228v1TS375_3,54.494
T1228v1TS388_3,44.101
T1228v1TS196_1,49.204
T1228v2TS456_2,43.82
T1228v1TS314_2,43.68
T1228v2TS284_5,41.386
T1228v2TS019_1,42.041
T1228v1TS481_2,55.946
T1228v1TS015_2,44.054
T1228v1TS033_1,54.775
T1228v1TS293_5,48.408
T1228v2TS450_4,42.978
T1228v2TS145_5,47.472
T1228v1TS028_2,51.311
T1228v1TS312_4,53.839
T1228v2TS325_1,49.345
T1228v1TS212_1,44.71
T1228v1TS465_3,49.11
T1228v2TS489_5,53.184
T1228v2TS139_1,35.674
T1228v2TS489_4,49.813
T1228v2TS301_1,41.199
T1228v1TS465_2,43.212
T1228v2TS494_1,55.805
T1228v1TS312_5,53.043
T1228v1TS028_3,49.438
T1228v2TS145_4,43.258
T1228v2TS450_5,44.803
T1228v1TS293_4,49.625
T1228v2TS221_1,53.371
T1228v1TS481_3,61.798
T1228v2TS264_1,43.633
T1228v1TS015_3,43.165
T1228v2TS284_4,42.556
T1228v2TS198_1,49.438
T1228v2TS120_1,36.985
T1228v1TS314_3,47.144
T1228v2TS456_3,58.333
T1228v1TS017_1,47.519
T1228v1TS052_1,53.933
T1228v1TS388_2,43.446
T1228v1TS375_2,55.431
T1228v2TS167_3,43.914
T1228v2TS122_3,38.904
T1228v2TS122_1,41.199
T1228v2TS167_1,44.991
T1228v2TS286_4,54.682
T1228v1TS196_2,49.438
T1228v1TS052_3,57.818
T1228v1TS017_3,50.187
T1228v2TS456_1,46.301
T1228v2TS022_4,57.21
T1228v1TS314_1,41.713
T1228v2TS120_3,34.691
T1228v2TS198_3,50.609
T1228v1TS033_2,55.571
T1228v1TS015_1,45.272
T1228v2TS264_3,49.813
T1228v2TS019_2,41.854
T1228v2TS221_3,50.843
T1228v1TS481_1,54.354
T1228v1TS419_4,55.478
T1228v2TS163_5,53.23
T1228v1TS028_1,49.251
T1228v2TS262_5,51.077
T1228v2TS494_3,49.86
T1228v1TS212_2,43.773
T1228v2TS147_4,50.328
T1228v2TS139_2,40.403
T1228v2TS301_3,38.904
T1228v2TS301_2,40.403
T1228v2TS139_3,37.921
T1228v1TS465_1,45.272
T1228v2TS147_5,44.148
T1228v1TS212_3,44.663
T1228v2TS494_2,56.32
T1228v2TS262_4,42.556
T1228v2TS163_4,51.919
T1228v1TS419_5,53.886
T1228v2TS264_2,43.305
T1228v2TS221_2,55.571
T1228v2TS019_3,42.603
T1228v1TS033_3,50.328
T1228v2TS198_2,56.414
T1228v2TS120_2,35.346
T1228v2TS022_5,42.697
T1228v1TS052_2,43.82
T1228v1TS017_2,40.777
T1228v1TS388_1,43.446
