Model,Global_GDT,Version,Group
T1239v2TS419_4.lga,59.052,v2,TS419
T1239v2TS221_4.lga,59.052,v2,TS221
T1239v2TS019_5.lga,52.2,v2,TS019
T1239v2TS167_3.lga,48.519,v2,TS167
T1239v2TS450_3.lga,48.519,v2,TS450
T1239v2TS091_3.lga,47.166,v2,TS091
T1239v2TS481_4.lga,47.124,v2,TS481
T1239v2TS147_5.lga,47.081,v2,TS147
T1239v2TS314_2.lga,45.431,v2,TS314
T1239v2TS465_2.lga,44.839,v2,TS465
T1239v2TS286_3.lga,44.67,v2,TS286
T1239v2TS235_4.lga,44.501,v2,TS235
T1239v2TS425_4.lga,44.459,v2,TS425
T1239v2TS231_1.lga,44.416,v2,TS231
T1239v2TS022_4.lga,44.416,v2,TS022
T1239v2TS456_2.lga,44.289,v2,TS456
T1239v2TS052_2.lga,44.12,v2,TS052
T1239v2TS033_2.lga,43.909,v2,TS033
T1239v2TS204_2.lga,43.528,v2,TS204
T1239v2TS028_2.lga,43.486,v2,TS028
T1239v2TS369_4.lga,43.105,v2,TS369
T1239v2TS358_2.lga,43.105,v2,TS358
T1239v2TS462_4.lga,43.105,v2,TS462
T1239v2TS319_5.lga,42.893,v2,TS319
T1239v2TS304_5.lga,42.597,v2,TS304
T1239v2TS159_2.lga,42.259,v2,TS159
T1239v2TS325_2.lga,42.259,v2,TS325
T1239v2TS294_2.lga,42.132,v2,TS294
T1239v2TS331_2.lga,42.09,v2,TS331
T1239v2TS345_5.lga,42.09,v2,TS345
T1239v2TS051_5.lga,42.09,v2,TS051
T1239v2TS293_3.lga,42.005,v2,TS293
T1239v2TS079_3.lga,42.005,v2,TS079
T1239v2TS212_5.lga,41.794,v2,TS212
T1239v2TS489_4.lga,41.751,v2,TS489
T1239v2TS110_2.lga,41.709,v2,TS110
T1239v2TS475_1.lga,41.624,v2,TS475
T1239v2TS208_4.lga,41.54,v2,TS208
T1239v2TS272_4.lga,41.244,v2,TS272
T1239v2TS241_5.lga,40.821,v2,TS241
T1239v2TS262_5.lga,40.736,v2,TS262
T1239v2TS264_1.lga,40.482,v2,TS264
T1239v2TS014_3.lga,39.721,v2,TS014
T1239v2TS148_3.lga,39.721,v2,TS148
T1239v2TS423_5.lga,39.594,v2,TS423
T1239v2TS196_2.lga,39.467,v2,TS196
T1239v2TS267_4.lga,39.298,v2,TS267
T1239v2TS287_4.lga,39.171,v2,TS287
T1239v2TS301_2.lga,39.129,v2,TS301
T1239v2TS122_2.lga,39.129,v2,TS122
T1239v2TS397_1.lga,39.129,v2,TS397
T1239v2TS075_2.lga,39.129,v2,TS075
T1239v2TS284_2.lga,39.129,v2,TS284
T1239v2TS139_5.lga,35.787,v2,TS139
T1239v2TS059_5.lga,36.887,v2,TS059
T1239v2TS375_3.lga,38.832,v2,TS375
T1239v2TS112_5.lga,38.79,v2,TS112
T1239v2TS145_1.lga,38.79,v2,TS145
T1239v2TS015_1.lga,38.79,v2,TS015
T1239v2TS023_1.lga,38.79,v2,TS023
T1239v2TS312_4.lga,38.621,v2,TS312
T1239v2TS040_3.lga,38.409,v2,TS040
T1239v2TS164_2.lga,38.409,v2,TS164
T1239v2TS163_3.lga,38.325,v2,TS163
T1239v2TS388_2.lga,37.986,v2,TS388
T1239v2TS269_1.lga,37.775,v2,TS269
T1239v2TS198_1.lga,37.775,v2,TS198
T1239v2TS017_4.lga,36.464,v2,TS017
T1239v2TS298_1.lga,34.264,v2,TS298
T1239v2TS120_2.lga,29.949,v2,TS120
T1239v2TS351_1.lga,24.281,v2,TS351
