Model,Composite_Score_4
T1214TS014_5,84.8497069491668
T1214TS015_5,94.44164394119001
T1214TS017_3,83.11898936604732
T1214TS019_1,84.18067110240007
T1214TS020_3,74.16100753475301
T1214TS022_4,90.1626568576454
T1214TS039_3,53.04602062977807
T1214TS040_3,50.1588893940899
T1214TS051_3,83.12290761103884
T1214TS052_1,73.94644223267787
T1214TS055_5,90.39562715007756
T1214TS059_6,73.02099128348138
T1214TS075_2,83.41616193536211
T1214TS079_5,83.63934540169319
T1214TS091_2,85.80194773252894
T1214TS102_2,85.59082868494508
T1214TS110_2,88.22568918864184
T1214TS120_6,60.40966668431105
T1214TS122_4,83.12965706935151
T1214TS132_1,10.443317752507287
T1214TS139_6,73.02099128348138
T1214TS145_5,83.11898936604732
T1214TS147_1,85.95951801859967
T1214TS148_5,85.3690762876378
T1214TS163_1,84.58395427554849
T1214TS164_1,84.58395427554849
T1214TS167_2,83.59203671059386
T1214TS196_4,84.21421679255938
T1214TS198_4,82.61300188890561
T1214TS202_5,89.37716954614855
T1214TS204_5,72.76137884090268
T1214TS207_3,84.68386570332214
T1214TS208_4,91.664564300854
T1214TS221_3,74.20805105552452
T1214TS225_1,84.58395427554849
T1214TS227_3,85.28128736627471
T1214TS235_3,82.62194950520916
T1214TS241_2,83.94466888429176
T1214TS262_3,71.80945568613781
T1214TS264_1,85.3690762876378
T1214TS267_2,83.6702982494991
T1214TS269_3,74.20378453741276
T1214TS272_1,82.10623805325835
T1214TS274_3,50.65722639675796
T1214TS275_1,39.949967413599474
T1214TS284_2,83.41616193536211
T1214TS286_2,51.90924085173471
T1214TS287_1,85.58412406657682
T1214TS293_2,83.63145034962801
T1214TS294_2,84.28143150189752
T1214TS298_4,93.0131407552387
T1214TS301_2,83.68452319625044
T1214TS304_2,83.94466888429176
T1214TS311_4,84.80090811496493
T1214TS312_1,85.3690762876378
T1214TS314_1,85.3690762876378
T1214TS319_3,85.12056319046432
T1214TS331_3,83.12290761103884
T1214TS345_4,83.44677770563598
T1214TS361_1,34.59266170068429
T1214TS369_1,83.2179428280057
T1214TS375_3,85.40252773297235
T1214TS386_4,93.0131407552387
T1214TS388_4,86.5285286380621
T1214TS393_1,85.3690762876378
T1214TS400_1,82.22289626132708
T1214TS408_1,90.61451102123688
T1214TS419_3,74.20805105552452
T1214TS423_1,85.97045150045659
T1214TS425_2,85.12056319046432
T1214TS450_5,83.59203671059386
T1214TS456_1,73.36793155328098
T1214TS461_2,36.72635580883595
T1214TS462_6,91.10429682041047
T1214TS464_4,81.86501743631148
T1214TS465_3,89.56840300681213
T1214TS475_3,84.05934162917588
T1214TS494_3,50.65722639675796
