Model,Global_GDT
T1239v1TS014_1.lga,45.212
T1239v1TS051_1.lga,48.39
T1239v1TS425_4.lga,38.602
T1239v2TS164_3.lga,42.246
T1239v2TS319_2.lga,55.636
T1239v2TS023_4.lga,39.195
T1239v2TS267_1.lga,44.322
T1239v1TS208_1.lga,65.381
T1239v2TS241_2.lga,51.314
T1239v2TS079_3.lga,48.898
T1239v2TS204_2.lga,55.127
T1239v1TS369_5.lga,53.22
T1239v2TS287_4.lga,46.102
T1239v1TS112_2.lga,47.161
T1239v2TS059_6.lga,42.797
T1239v2TS345_3.lga,67.331
T1239v1TS311_5.lga,40.297
T1239v1TS235_1.lga,62.924
T1239v1TS423_2.lga,49.958
T1239v1TS091_1.lga,41.737
T1239v1TS148_5.lga,38.305
T1239v1TS272_3.lga,50.085
T1239v1TS272_2.lga,50.085
T1239v1TS148_4.lga,44.322
T1239v1TS423_3.lga,51.186
T1239v1TS110_1.lga,63.008
T1239v2TS159_2.lga,55.212
T1239v1TS311_4.lga,42.203
T1239v2TS345_2.lga,51.907
T1239v1TS112_3.lga,46.144
T1239v1TS331_1.lga,48.39
T1239v2TS287_5.lga,41.568
T1239v2TS079_2.lga,49.915
T1239v2TS241_3.lga,45.72
T1239v1TS369_4.lga,54.068
T1239v2TS204_3.lga,52.627
T1239v1TS294_1.lga,59.576
T1239v2TS023_5.lga,35.466
T1239v2TS164_2.lga,45.466
T1239v2TS319_3.lga,50.847
T1239v1TS425_5.lga,51.907
T1239v2TS304_4.lga,47.288
T1239v1TS051_2.lga,51.907
T1239v1TS014_2.lga,44.576
T1239v2TS319_1.lga,51.907
T1239v2TS040_4.lga,37.542
T1239v1TS294_3.lga,49.28
T1239v2TS204_1.lga,50.424
T1239v1TS208_2.lga,62.373
T1239v2TS241_1.lga,52.5
T1239v2TS267_2.lga,43.559
T1239v1TS462_5.lga,41.483
T1239v1TS331_3.lga,50.847
T1239v2TS059_5.lga,36.949
T1239v1TS112_1.lga,46.186
T1239v2TS358_5.lga,48.008
T1239v1TS235_2.lga,57.966
T1239v2TS475_5.lga,39.364
T1239v1TS110_3.lga,55.169
T1239v1TS091_2.lga,51.102
T1239v1TS423_1.lga,51.144
T1239v1TS272_1.lga,50.085
T1239v1TS091_3.lga,49.576
T1239v1TS110_2.lga,51.907
T1239v2TS159_1.lga,53.136
T1239v2TS475_4.lga,43.686
T1239v1TS235_3.lga,66.356
T1239v2TS358_4.lga,50.085
T1239v2TS059_4.lga,36.102
T1239v2TS345_1.lga,48.39
T1239v1TS331_2.lga,55.636
T1239v1TS462_4.lga,65.212
T1239v2TS267_3.lga,42.924
T1239v2TS079_1.lga,48.814
T1239v2TS298_1.lga,39.195
T1239v1TS294_2.lga,50.466
T1239v2TS040_5.lga,30.593
T1239v2TS164_1.lga,44.068
T1239v1TS051_3.lga,67.331
T1239v2TS304_5.lga,50.89
T1239v1TS014_3.lga,45.593
T1239v1TS425_2.lga,63.22
T1239v2TS304_1.lga,47.331
T1239v2TS023_2.lga,36.483
T1239v2TS164_5.lga,39.237
T1239v2TS040_1.lga,44.746
T1239v2TS319_4.lga,47.797
T1239v2TS287_2.lga,39.28
T1239v2TS241_4.lga,46.949
T1239v2TS079_5.lga,47.585
T1239v2TS204_4.lga,52.797
T1239v1TS369_3.lga,53.432
T1239v2TS345_5.lga,55.636
T1239v1TS112_4.lga,48.093
T1239v1TS311_3.lga,40.72
T1239v1TS423_4.lga,51.695
T1239v1TS272_5.lga,50.085
T1239v1TS148_3.lga,43.008
T1239v1TS148_2.lga,44.873
T1239v1TS272_4.lga,50.085
T1239v1TS423_5.lga,50.763
T1239v1TS311_2.lga,41.653
T1239v2TS358_1.lga,50.89
T1239v2TS475_1.lga,49.195
T1239v1TS112_5.lga,46.229
T1239v2TS059_1.lga,36.737
T1239v2TS345_4.lga,71.229
T1239v2TS079_4.lga,44.195
T1239v2TS241_5.lga,53.814
T1239v1TS369_2.lga,49.492
T1239v2TS204_5.lga,48.093
T1239v2TS287_3.lga,42.034
T1239v1TS462_1.lga,41.271
T1239v2TS164_4.lga,36.695
T1239v1TS231_2.lga,46.356
T1239v2TS319_5.lga,49.449
T1239v2TS023_3.lga,36.61
T1239v1TS014_6.lga,44.703
T1239v1TS425_3.lga,50.847
T1239v1TS425_1.lga,48.39
T1239v2TS304_2.lga,46.144
T1239v1TS051_4.lga,71.229
T1239v1TS014_4.lga,45.424
T1239v1TS294_5.lga,53.093
T1239v2TS040_2.lga,47.246
T1239v2TS023_1.lga,42.712
T1239v1TS462_3.lga,51.271
T1239v2TS287_1.lga,40.169
T1239v2TS267_4.lga,44.831
T1239v1TS208_4.lga,66.992
T1239v1TS331_5.lga,51.907
T1239v2TS059_3.lga,36.695
T1239v2TS475_3.lga,41.907
T1239v2TS358_3.lga,51.525
T1239v1TS235_4.lga,49.025
T1239v1TS091_4.lga,45.805
T1239v1TS110_5.lga,54.873
T1239v1TS148_1.lga,38.814
T1239v1TS110_4.lga,47.839
T1239v1TS091_5.lga,52.076
T1239v1TS235_5.lga,57.839
T1239v1TS311_1.lga,42.246
T1239v2TS358_2.lga,54.958
T1239v2TS475_2.lga,45.212
T1239v2TS059_2.lga,36.229
T1239v1TS331_4.lga,47.797
T1239v1TS369_1.lga,50.466
T1239v2TS267_5.lga,43.559
T1239v1TS462_2.lga,53.136
T1239v2TS040_3.lga,48.093
T1239v1TS231_1.lga,46.483
T1239v1TS294_4.lga,54.746
T1239v1TS051_5.lga,55.636
T1239v2TS304_3.lga,50.508
T1239v1TS014_5.lga,45.72
T1239v1TS312_4.lga,44.322
T1239v2TS145_5.lga,35.466
T1239v1TS028_2.lga,52.246
T1239v2TS450_4.lga,40.89
T1239v1TS293_5.lga,47.585
T1239v2TS139_1.lga,34.788
T1239v2TS489_5.lga,52.712
T1239v1TS465_3.lga,46.525
T1239v1TS212_1.lga,46.483
T1239v1TS196_1.lga,36.992
T1239v1TS388_3.lga,37.924
T1239v1TS375_3.lga,46.737
T1239v2TS122_2.lga,44.28
T1239v2TS167_2.lga,40.72
T1239v1TS033_1.lga,39.492
T1239v1TS015_2.lga,43.517
T1239v2TS019_1.lga,47.669
T1239v1TS481_2.lga,56.059
T1239v2TS284_5.lga,45.212
T1239v1TS314_2.lga,46.653
