Model,Global_GDT,Version,Group
T1228v2TS014_5,58.567,v2,TS014
T1228v2TS015_2,51.077,v2,TS015
T1228v2TS017_5,52.481,v2,TS017
T1228v2TS019_5,52.388,v2,TS019
T1228v2TS022_4,59.129,v2,TS022
T1228v2TS023_5,47.331,v2,TS023
T1228v2TS028_5,47.846,v2,TS028
T1228v2TS033_1,61.283,v2,TS033
T1228v2TS051_4,59.925,v2,TS051
T1228v2TS052_4,60.955,v2,TS052
T1228v2TS059_3,45.318,v2,TS059
T1228v2TS075_4,45.88,v2,TS075
T1228v2TS079_2,55.478,v2,TS079
T1228v2TS091_2,57.584,v2,TS091
T1228v2TS110_4,47.051,v2,TS110
T1228v2TS112_3,52.481,v2,TS112
T1228v2TS120_1,36.47,v2,TS120
T1228v2TS122_4,45.88,v2,TS122
T1228v2TS139_2,40.403,v2,TS139
T1228v2TS145_3,52.388,v2,TS145
T1228v2TS147_2,52.294,v2,TS147
T1228v2TS148_3,56.18,v2,TS148
T1228v2TS159_1,53.605,v2,TS159
T1228v2TS163_5,52.341,v2,TS163
T1228v2TS164_3,48.455,v2,TS164
T1228v2TS167_3,47.238,v2,TS167
T1228v2TS196_5,51.311,v2,TS196
T1228v2TS198_2,56.976,v2,TS198
T1228v2TS204_2,62.875,v2,TS204
T1228v2TS208_5,54.728,v2,TS208
T1228v2TS212_3,52.715,v2,TS212
T1228v2TS221_1,54.822,v2,TS221
T1228v2TS231_2,58.333,v2,TS231
T1228v2TS235_1,51.264,v2,TS235
T1228v2TS241_1,56.929,v2,TS241
T1228v2TS262_5,55.618,v2,TS262
T1228v2TS264_4,56.18,v2,TS264
T1228v2TS267_5,52.341,v2,TS267
T1228v2TS269_1,51.966,v2,TS269
T1228v2TS274_2,60.674,v2,TS274
T1228v2TS284_4,45.88,v2,TS284
T1228v2TS286_1,55.009,v2,TS286
T1228v2TS287_3,52.575,v2,TS287
T1228v2TS293_2,55.478,v2,TS293
T1228v2TS294_2,63.249,v2,TS294
T1228v2TS298_3,47.659,v2,TS298
T1228v2TS301_4,45.88,v2,TS301
T1228v2TS304_2,56.507,v2,TS304
T1228v2TS311_1,47.238,v2,TS311
T1228v2TS312_5,47.144,v2,TS312
T1228v2TS314_3,49.719,v2,TS314
T1228v2TS319_1,59.223,v2,TS319
T1228v2TS325_1,53.605,v2,TS325
T1228v2TS331_1,59.925,v2,TS331
T1228v2TS345_4,59.925,v2,TS345
T1228v2TS361_2,31.273,v2,TS361
T1228v2TS369_1,54.775,v2,TS369
T1228v2TS375_2,61.423,v2,TS375
T1228v2TS388_3,45.131,v2,TS388
T1228v2TS419_2,55.056,v2,TS419
T1228v2TS425_2,59.223,v2,TS425
T1228v2TS450_3,47.238,v2,TS450
T1228v2TS456_3,63.155,v2,TS456
T1228v2TS462_3,65.309,v2,TS462
T1228v2TS465_2,50.843,v2,TS465
T1228v2TS475_5,59.738,v2,TS475
T1228v2TS481_2,58.708,v2,TS481
T1228v2TS489_5,55.431,v2,TS489
T1228v2TS494_2,60.674,v2,TS494
T1228v1TS014_5,52.341,v1,TS014
T1228v1TS015_5,49.86,v1,TS015
T1228v1TS017_5,52.481,v1,TS017
T1228v1TS019_4,53.886,v1,TS019
T1228v1TS022_4,59.129,v1,TS022
T1228v1TS023_3,47.331,v1,TS023
T1228v1TS028_5,53.839,v1,TS028
T1228v1TS033_1,55.571,v1,TS033
T1228v1TS051_3,59.925,v1,TS051
T1228v1TS052_4,60.955,v1,TS052
T1228v1TS059_3,44.991,v1,TS059
T1228v1TS075_3,48.502,v1,TS075
T1228v1TS079_2,55.478,v1,TS079
T1228v1TS091_2,57.584,v1,TS091
T1228v1TS110_2,53.371,v1,TS110
T1228v1TS112_4,52.481,v1,TS112
T1228v1TS120_4,36.704,v1,TS120
T1228v1TS122_3,48.502,v1,TS122
T1228v1TS139_4,39.185,v1,TS139
T1228v1TS145_3,52.388,v1,TS145
T1228v1TS147_1,62.828,v1,TS147
T1228v1TS148_1,48.549,v1,TS148
T1228v1TS159_1,53.605,v1,TS159
T1228v1TS163_5,52.341,v1,TS163
T1228v1TS164_1,45.927,v1,TS164
T1228v1TS167_1,59.597,v1,TS167
T1228v1TS196_5,51.311,v1,TS196
T1228v1TS198_2,57.022,v1,TS198
T1228v1TS204_1,62.921,v1,TS204
T1228v1TS208_1,53.558,v1,TS208
T1228v1TS212_1,46.723,v1,TS212
T1228v1TS221_1,55.431,v1,TS221
T1228v1TS231_2,53.745,v1,TS231
T1228v1TS235_1,51.264,v1,TS235
T1228v1TS241_3,56.554,v1,TS241
T1228v1TS262_2,54.448,v1,TS262
T1228v1TS264_3,56.039,v1,TS264
T1228v1TS267_2,58.052,v1,TS267
T1228v1TS269_1,51.966,v1,TS269
T1228v1TS274_2,60.674,v1,TS274
T1228v1TS284_3,48.502,v1,TS284
T1228v1TS286_1,55.056,v1,TS286
T1228v1TS287_2,56.039,v1,TS287
T1228v1TS293_2,55.478,v1,TS293
T1228v1TS294_5,56.039,v1,TS294
T1228v1TS298_1,55.618,v1,TS298
T1228v1TS301_3,53.979,v1,TS301
T1228v1TS304_3,54.963,v1,TS304
T1228v1TS311_1,47.238,v1,TS311
T1228v1TS312_5,55.197,v1,TS312
T1228v1TS314_4,49.719,v1,TS314
T1228v1TS319_2,59.925,v1,TS319
T1228v1TS325_1,53.605,v1,TS325
T1228v1TS331_2,59.925,v1,TS331
T1228v1TS345_3,59.925,v1,TS345
T1228v1TS361_1,31.18,v1,TS361
T1228v1TS369_1,54.775,v1,TS369
T1228v1TS375_1,58.24,v1,TS375
T1228v1TS388_3,44.054,v1,TS388
T1228v1TS419_1,55.712,v1,TS419
T1228v1TS425_1,59.223,v1,TS425
T1228v1TS450_1,59.597,v1,TS450
T1228v1TS456_3,63.155,v1,TS456
T1228v1TS462_3,61.891,v1,TS462
T1228v1TS465_5,50.655,v1,TS465
T1228v1TS475_2,50.468,v1,TS475
T1228v1TS481_2,57.444,v1,TS481
T1228v1TS489_2,57.35,v1,TS489
T1228v1TS494_2,60.674,v1,TS494
